"Date","Followers","Listeners"
"2021-03-07","21350074","35647866"
"2021-03-14","21390497","35697537"
"2021-03-21","21430755","35734600"
"2021-03-28","21470143","35477920"
"2021-04-04","21504107","35756107"
"2021-04-11","21536992","36008807"
"2021-04-18","21566938","36166921"
"2021-04-25","21592947","36222712"
"2021-05-02","21613723","36054413"
"2021-05-09","21629317","35970046"
"2021-05-16","21643843","36141458"
"2021-05-23","21659028","36253140"
"2021-05-30","21682836","36435499"
"2021-06-06","21705722","38565783"
"2021-06-13","21738653","41042246"
"2021-06-20","21764374","42838336"
"2021-06-27","21787983","44141591"
"2021-07-04","21808095","44276169"
"2021-07-11","21828452","43981284"
"2021-07-18","21851668","44012963"
"2021-07-25","21877532","44193365"
"2021-08-01","21897614","44067136"
"2021-08-08","21925268","43215285"
"2021-08-15","21946934","42754666"
"2021-08-22","21974648","42150054"
"2021-08-29","22010307","41623203"
"2021-09-05","22031797","41252078"
"2021-09-12","22073882","40456584"
"2021-09-19","22101534","39783303"
"2021-09-26","22138647","39350689"
"2021-10-03","22159652","38860100"
"2021-10-10","22175189","38539039"
"2021-10-17","22196795","38026370"
"2021-10-24","22214106","37346489"
"2021-10-31","22236022","37087040"
"2021-11-07","22254822","36826199"
"2021-11-14","22270915","36491887"
"2021-11-21","22288633","36155204"
"2021-11-28","22303659","35641199"
"2021-12-05","22323621","35283711"
"2021-12-12","22339303","35091020"
"2021-12-19","22359149","34883268"
"2021-12-26","22378882","34586220"
"2022-01-02","22396997","35541935"
"2022-01-09","22416117","35695171"
"2022-01-16","22436987","35779078"
"2022-01-23","22452871","36635489"
"2022-01-30","22470054","36231776"
"2022-02-06","22486194","36449258"
"2022-02-13","22501131","36741132"
"2022-02-20","22514723","36762965"
"2022-02-27","22527087","36559470"
"2022-03-06","22546068","36838409"
"2022-03-13","22565752","36961296"
"2022-03-20","22580563","37254406"
"2022-03-27","22596800","37581648"
"2022-04-03","22614400","37643419"
"2022-04-10","22631931","37791763"
"2022-04-17","22651891","38165205"
"2022-04-24","22671284","38504474"
"2022-05-01","22687943","38795109"
"2022-05-08","22701331","39055881"
"2022-05-15","22715598","39247730"
"2022-05-22","22729564","39458378"
"2022-05-29","22745548","41804067"
"2022-06-05","22762963","46996255"
"2022-06-12","22780532","50850744"
"2022-06-19","22796811","53999186"
"2022-06-26","22813864","55686144"
"2022-07-03","22843811","55342457"
"2022-07-10","22861250","55315099"
"2022-07-17","22878433","55397246"
"2022-07-24","22897170","56214976"
"2022-07-31","22916930","56498083"
"2022-08-07","22940266","57542290"
"2022-08-14","22963555","58949191"
"2022-08-21","22987034","58901193"
"2022-08-28","23004333","58776149"
"2022-09-04","23009088","57853685"
"2022-09-11","22798647","55998602"
"2022-09-18","22817384","54758006"
"2022-09-25","22834994","53540851"
"2022-10-02","22852904","52168138"
"2022-10-09","22868863","51130701"
"2022-10-16","22884039","50258065"
"2022-10-23","22900321","49674298"
"2022-10-30","22915563","49389615"
"2022-11-06","22930539","49214682"
"2022-11-13","22945243","48875870"
"2022-11-20","22959529","48457697"
"2022-11-27","22974585","47848288"
"2022-12-04","22996497","47280545"
"2022-12-11","23016456","46902624"
"2022-12-18","23036094","46610683"
"2022-12-25","23055215","46570902"
"2023-01-01","23079962","48087931"
"2023-01-08","23098997","49219678"
"2023-01-15","23117578","49800830"
"2023-01-22","23134917","50279228"
"2023-01-29","23151881","51070065"
"2023-02-05","23167941","53658652"
"2023-02-12","23176724","55422742"
"2023-02-19","23191722","60245746"
"2023-02-26","23207463","61787735"
"2023-03-05","23226441","61503980"
"2023-03-12","23242045","62173440"
"2023-03-19","23255723","61810173"
"2023-03-26","23268570","62336507"
"2023-04-02","23282135","63104030"
"2023-04-09","23302747","63675326"
"2023-04-16","23313405","63895695"
"2023-04-23","23337935","64214678"
"2023-04-30","23352656","64748721"
"2023-05-07","23366803","65239757"
"2023-05-14","23375014","65507266"
"2023-05-21","23389903","65762925"
"2023-05-28","23403745","66379951"
"2023-06-04","23417437","66732749"
"2023-06-11","23418424","67057160"
"2023-06-18","23433748","67342768"
"2023-06-25","23448553","66995007"
"2023-07-02","23464887","66553224"
"2023-07-09","23481231","66096421"
"2023-07-16","23496862","65393714"
"2023-07-23","23511701","64886414"
"2023-07-30","23529327","65124683"
"2023-08-06","23546998","65743130"
"2023-08-13","23563066","66121943"
"2023-08-20","23579596","66364011"
"2023-08-27","23595771","66147852"
"2023-09-03","23611007","65307294"
"2023-09-10","23625570","65038675"
"2023-09-17","23638686","64434755"
"2023-09-24","23652298","63691812"
"2023-10-01","23667333","62932614"
"2023-10-08","23683669","62041177"
"2023-10-15","23698449","61367243"
"2023-10-22","23379702","60667241"
"2023-10-29","23395525","60130187"
"2023-11-05","23410703","59498351"
"2023-11-12","23425705","59079983"
"2023-11-19","23441822","58821394"
"2023-11-26","23456444","59143715"
"2023-12-03","23488198","59441661"
"2023-12-10","23508839","59650271"
"2023-12-17","23460999","59356990"
"2023-12-24","23198919","59102220"
"2023-12-31","23121204","59281983"
"2024-01-07","23076777","62013628"
"2024-01-14","23031477","62881334"
"2024-01-21","22988496","63378286"
"2024-01-28","22954335","63944402"
"2024-02-04","22875106","62111574"
"2024-02-11","22584476","62152442"
"2024-02-18","22395397","62419502"
"2024-02-25","22408821","63119496"
