"Date","Streams"
"2023-04-02","84835618"
"2023-04-09","74220980"
"2023-04-16","74748061"
"2023-04-23","82541090"
"2023-04-30","103596075"
"2023-05-07","90491197"
"2023-05-14","91476131"
"2023-05-21","92265564"
"2023-05-28","94626623"
"2023-06-04","94828203"
"2023-06-11","93769857"
"2023-06-18","94974623"
"2023-06-25","91922789"
"2023-07-02","89788583"
"2023-07-09","89548583"
"2023-07-16","88240651"
"2023-07-23","87749775"
"2023-07-30","87004508"
"2023-08-06","93633945"
"2023-08-13","90525270"
"2023-08-20","89849823"
"2023-08-27","91619686"
"2023-09-03","89928442"
"2023-09-10","90404146"
"2023-09-17","102749628"
"2023-09-24","78000997"
"2023-10-01","87795273"
"2023-10-08","85545153"
"2023-10-15","82046972"
"2023-10-22","82650966"
"2023-10-29","82134553"
"2023-11-05","80664178"
"2023-11-12","81349746"
"2023-11-19","57172064"
"2023-11-26","109380707"
"2023-12-03","87297364"
"2023-12-10","75848203"
"2023-12-17","63555871"
"2023-12-24","78967672"
"2023-12-31","85466099"
"2024-01-07","46586750"
"2024-01-14","105281152"
"2024-01-21","128089287"
"2024-01-28","79181460"
"2024-02-04","95687080"
"2024-02-11","100831283"
"2024-02-18","88989872"
"2024-02-25","95357178"
