"Track","Artists","Alltime streams","Streams 1y","Streams 1m","Streams 1w","Release date"
"We Found Love","Rihanna, Calvin Harris","1509355097","451926233","39039790","10280605","2011-01-01"
"We Found Love (feat. Rihanna)","Calvin Harris, Rihanna","1509355097","463941408","49072145","10280605","2012-10-29"
"Outside (feat. Ellie Goulding)","Calvin Harris, Ellie Goulding","1030540178","207216124","20591791","4998485","2014-10-20"
"One Kiss","Calvin Harris, Dua Lipa","2071363721","322057115","19966598","4966040","2015-01-01"
"This Is What You Came For (feat. Rihanna)","Calvin Harris, Rihanna","1638589761","230160963","22130024","4961875","2016-04-29"
"Feel So Close - Instrumental","Calvin Harris","899915410","191684340","17189111","4342428","2011-07-23"
"Feel So Close - Radio Edit","Calvin Harris","899915410","191684340","17189111","4342428","2011-07-23"
"Lovers In A Past Life (with Rag'n'Bone Man)","Calvin Harris, Rag'n'Bone Man","7555216","4326405","4326405","4326405","2024-02-16"
"Summer","Calvin Harris","1387339122","210515857","15784181","4193330","2014-04-30"
"Desire (with Sam Smith)","Calvin Harris, Sam Smith","174250754","169360334","16459968","3906789","2023-07-28"
"Miracle (with Ellie Goulding)","Calvin Harris, Ellie Goulding","374449671","370557124","14613906","3620816","2023-03-10"
"How Deep Is Your Love","Calvin Harris, Disciples","1073070128","131023928","12927961","3484503","2015-07-17"
"My Way","Calvin Harris","969061395","131674928","10489600","2718112","2016-09-16"
"Blame (feat. John Newman)","Calvin Harris, John Newman","890260690","119038122","10133448","2561674","2014-09-07"
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris, Pharrell Williams, Katy Perry, Big Sean","1091975187","102402891","7571283","1897374","2017-06-16"
"Slide (feat. Frank Ocean & Migos)","Calvin Harris, Frank Ocean, Migos","1003115847","111716043","6955193","1856396","2017-02-24"
"Under Control (feat. Hurts)","Calvin Harris, Alesso, Hurts","519502192","78028689","6337657","1603923","2014-10-31"
"Spectrum (Say My Name) - Calvin Harris Remix","Florence + The Machine, Calvin Harris","257029896","59528179","6194365","1528480","2011-01-01"
"Body Moving","Eliza Rose, Calvin Harris","24259040","19183555","6041959","1510494","2023-11-17"
"Sweet Nothing (feat. Florence Welch)","Calvin Harris, Florence Welch","483304648","70157684","7750721","1493616","2012-10-12"
"Promises (with Sam Smith)","Calvin Harris, Sam Smith, Jessie Reyez","1013288464","80377258","7581637","1426842","2018-08-17"
"The Weekend - Funk Wav Remix","SZA, Calvin Harris","447338599","59231590","5955414","1240194","2017-12-15"
"I Need Your Love","Calvin Harris, Ellie Goulding","478579877","56764592","5071978","1216540","2012-01-01"
"Giant","Calvin Harris, Rag'n'Bone Man","656879410","20945055","3441869","905486","2019-01-01"
"I’m Not Here To Make Friends (feat. Calvin Harris & Jessie Reyez)","Sam Smith, Calvin Harris, Jessie Reyez","137506830","96154332","3085910","764968","2023-01-27"
