"Country","Viberate overall audience (%)","Spotify monthly listeners","Spotify monthly listeners (%)","Spotify monthly listeners growth","Youtube monthly views","Youtube monthly views (%)","Youtube monthly views growth","Youtube subscribers","Youtube subscribers (%)","Instagram followers","Instagram followers (%)","Tiktok followers","Tiktok followers (%)"
"United Kingdom","13.27%","362120","14.78%","N/A","587452","7.26%","N/A","13827","11.52%","129113","38.72%","N/A","N/A"
"United States","9.88%","172745","7.05%","N/A","793798","9.82%","N/A","12016","10.01%","54105","16.23%","N/A","N/A"
"Australia","5.98%","386600","15.78%","N/A","188925","2.34%","N/A","4279","3.57%","14275","4.28%","N/A","N/A"
"Brazil","5.88%","100187","4.09%","N/A","420311","5.20%","N/A","9383","7.82%","21285","6.38%","N/A","N/A"
"Germany","5.26%","235064","9.59%","N/A","326254","4.03%","N/A","5267","4.39%","8284","2.48%","N/A","N/A"
"Mexico","4.54%","117008","4.77%","N/A","402171","4.97%","N/A","4773","3.98%","12936","3.88%","N/A","N/A"
"Ukraine","3.71%","N/A","N/A","N/A","581798","7.19%","N/A","4115","3.43%","N/A","N/A","N/A","N/A"
"Italy","3.50%","45057","1.84%","N/A","208864","2.58%","N/A","6419","5.35%","17015","5.10%","N/A","N/A"
"France","3.46%","52655","2.15%","N/A","283719","3.51%","N/A","5596","4.66%","7392","2.22%","N/A","N/A"
"Spain","3.39%","68388","2.79%","N/A","174659","2.16%","N/A","5267","4.39%","20966","6.29%","N/A","N/A"
"Argentina","3.21%","56105","2.29%","N/A","361050","4.46%","N/A","3292","2.74%","6564","1.97%","N/A","N/A"
"Poland","3.21%","43771","1.79%","N/A","320092","3.96%","N/A","5267","4.39%","N/A","N/A","N/A","N/A"
"Canada","2.60%","73163","2.99%","N/A","189399","2.34%","N/A","3292","2.74%","6117","1.83%","N/A","N/A"
"Colombia","2.45%","71950","2.94%","N/A","207027","2.56%","N/A","2633","2.19%","5289","1.59%","N/A","N/A"
"Netherlands","2.31%","118716","4.84%","N/A","80090","0.99%","N/A","2633","2.19%","5544","1.66%","N/A","N/A"
"India","2.09%","N/A","N/A","N/A","217028","2.68%","N/A","3786","3.16%","5417","1.62%","N/A","N/A"
"Russian Federation","2.02%","0","0","N/A","243806","3.01%","N/A","2963","2.47%","5544","1.66%","N/A","N/A"
"Greece","1.95%","32618","1.33%","N/A","120815","1.49%","N/A","4279","3.57%","N/A","N/A","N/A","N/A"
"Ireland","1.69%","77242","3.15%","N/A","73075","0.90%","N/A","1646","1.37%","7392","2.22%","N/A","N/A"
"Romania","1.59%","N/A","N/A","N/A","197344","2.44%","N/A","2633","2.19%","N/A","N/A","N/A","N/A"
"Hungary","1.55%","33182","1.35%","N/A","153439","1.90%","N/A","2140","1.78%","N/A","N/A","N/A","N/A"
"Turkey","1.51%","61776","2.52%","N/A","N/A","N/A","N/A","3621","3.02%","N/A","N/A","N/A","N/A"
"Belgium","1.48%","71865","2.93%","N/A","82789","1.02%","N/A","1646","1.37%","N/A","N/A","N/A","N/A"
"Chile","1.41%","60532","2.47%","N/A","139213","1.72%","N/A","N/A","N/A","6181","1.85%","N/A","N/A"
"South Africa","1.15%","N/A","N/A","N/A","122471","1.51%","N/A","2304","1.92%","N/A","N/A","N/A","N/A"
"Lithuania","0.79%","N/A","N/A","N/A","89121","1.10%","N/A","1481","1.23%","N/A","N/A","N/A","N/A"
"Bulgaria","0.79%","N/A","N/A","N/A","63474","0.78%","N/A","1975","1.65%","N/A","N/A","N/A","N/A"
"Portugal","0.76%","0","0","N/A","56814","0.70%","N/A","1975","1.65%","N/A","N/A","N/A","N/A"
"Switzerland","0.65%","35311","1.44%","N/A","68596","0.85%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Czech Republic","0.61%","31950","1.30%","N/A","68536","0.85%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Peru","0.61%","26682","1.09%","N/A","78869","0.98%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Israel","0.61%","0","0","N/A","136676","1.69%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Austria","0.54%","35652","1.45%","N/A","49663","0.61%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Morocco","0.54%","N/A","N/A","N/A","32663","0.40%","N/A","1481","1.23%","N/A","N/A","N/A","N/A"
"New Zealand","0.40%","30179","1.23%","N/A","20340","0.25%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Norway","0.32%","25132","1.03%","N/A","19635","0.24%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
