"Date","Spotify followers","Spotify followers change","Spotify monthly listeners","Spotify monthly listeners change","Youtube subscribers","Youtube subscribers change","TikTok followers","TikTok followers change","TikTok likes","TikTok views","Instagram followers","Instagram followers change","Instagram likes","SoundCloud followers","SoundCloud followers change","SoundCloud plays"
"2023-03-27","339171","0","4665467","0","141000","0","N/A","N/A","N/A","N/A","359260","0","0","137634","0","6373"
"2023-03-28","339335","164","4654909","-10558","141000","0","N/A","N/A","N/A","N/A","359351","91","7000","137668","34","6607"
"2023-03-29","339474","139","4658388","3479","141000","0","N/A","N/A","N/A","N/A","359351","0","0","137710","42","6150"
"2023-03-30","339624","150","4664868","6480","141000","0","N/A","N/A","N/A","N/A","359525","174","10000","137747","37","7137"
"2023-03-31","339743","119","4666751","1883","141000","0","N/A","N/A","N/A","N/A","359525","0","0","137793","46","7742"
"2023-04-01","339900","157","4655079","-11672","141000","0","N/A","N/A","N/A","N/A","359705","180","4000","137841","48","8090"
"2023-04-02","340035","135","4654232","-847","142000","1000","N/A","N/A","N/A","N/A","359705","0","0","137884","43","5638"
"2023-04-03","340179","144","4656860","2628","142000","0","N/A","N/A","N/A","N/A","359755","50","1000","137918","34","6350"
"2023-04-04","340316","137","4663074","6214","142000","0","N/A","N/A","N/A","N/A","359755","0","0","137958","40","6917"
"2023-04-05","340461","145","4673628","10554","142000","0","N/A","N/A","N/A","N/A","360137","382","9000","137998","40","7296"
"2023-04-06","340638","177","4685335","11707","142000","0","N/A","N/A","N/A","N/A","360137","0","0","138034","36","7227"
"2023-04-07","340830","192","4692774","7439","142000","0","N/A","N/A","N/A","N/A","360694","557","4000","138076","42","8119"
"2023-04-08","340983","153","4692686","-88","142000","0","N/A","N/A","N/A","N/A","360694","0","0","138105","29","7435"
"2023-04-09","341145","162","4699647","6961","142000","0","N/A","N/A","N/A","N/A","360987","293","7000","138154","49","6821"
"2023-04-10","341333","188","4704165","4518","142000","0","N/A","N/A","N/A","N/A","360987","0","0","138188","34","5964"
"2023-04-11","341482","149","4715143","10978","142000","0","N/A","N/A","N/A","N/A","361280","293","8000","138237","49","6648"
"2023-04-12","341637","155","4731601","16458","142000","0","N/A","N/A","N/A","N/A","361280","0","0","138265","28","6414"
"2023-04-13","341759","122","4746748","15147","142000","0","N/A","N/A","N/A","N/A","361432","152","547","138312","47","7007"
"2023-04-14","341893","134","4754638","7890","142000","0","N/A","N/A","N/A","N/A","361432","0","0","138355","43","7433"
"2023-04-15","342029","136","4771070","16432","142000","0","N/A","N/A","N/A","N/A","361625","193","439","138387","32","7431"
"2023-04-16","342170","141","4787090","16020","143000","1000","N/A","N/A","N/A","N/A","361625","0","0","138423","36","5730"
"2023-04-17","342311","141","4799366","12276","143000","0","N/A","N/A","N/A","N/A","361845","220","14","138459","36","6626"
"2023-04-18","342464","153","4818696","19330","143000","0","N/A","N/A","N/A","N/A","361845","0","0","138503","44","7134"
"2023-04-19","342626","162","4832955","14259","143000","0","N/A","N/A","N/A","N/A","362077","232","6000","138541","38","7404"
"2023-04-20","342762","136","4840309","7354","143000","0","N/A","N/A","N/A","N/A","362077","0","0","138585","44","7538"
"2023-04-21","342921","159","4859078","18769","143000","0","N/A","N/A","N/A","N/A","362279","202","3000","138627","42","9723"
"2023-04-22","343118","197","4875885","16807","143000","0","N/A","N/A","N/A","N/A","362279","0","0","138650","23","8555"
"2023-04-23","343277","159","4891373","15488","143000","0","N/A","N/A","N/A","N/A","362279","0","0","138687","37","6735"
"2023-04-24","343452","175","4906662","15289","143000","0","N/A","N/A","N/A","N/A","362765","486","6000","138751","64","7588"
"2023-04-25","343778","326","4931731","25069","143000","0","N/A","N/A","N/A","N/A","362765","0","0","138792","41","7630"
"2023-04-26","343970","192","4940927","9196","143000","0","N/A","N/A","N/A","N/A","362992","227","0","138853","61","7674"
"2023-04-27","344193","223","4953352","12425","143000","0","N/A","N/A","N/A","N/A","362992","0","0","138889","36","7805"
"2023-04-28","344390","197","4951327","-2025","143000","0","N/A","N/A","N/A","N/A","363717","725","5000","138943","54","8452"
"2023-04-29","344564","174","4969122","17795","143000","0","N/A","N/A","N/A","N/A","363717","0","0","138996","53","8185"
"2023-04-30","344765","201","4987224","18102","143000","0","N/A","N/A","N/A","N/A","364202","485","2000","139039","43","6685"
"2023-05-01","344930","165","5006118","18894","143000","0","N/A","N/A","N/A","N/A","364202","0","0","139083","44","6474"
"2023-05-02","345063","133","5005053","-1065","144000","1000","N/A","N/A","N/A","N/A","364373","171","7000","139121","38","7226"
"2023-05-03","345216","153","4997744","-7309","144000","0","N/A","N/A","N/A","N/A","364373","0","0","139164","43","7650"
"2023-05-04","345362","146","5001156","3412","144000","0","N/A","N/A","N/A","N/A","364962","589","6000","139205","41","7847"
"2023-05-05","345513","151","5001274","118","144000","0","N/A","N/A","N/A","N/A","364962","0","0","139248","43","8723"
"2023-05-06","345693","180","5010390","9116","144000","0","N/A","N/A","N/A","N/A","365391","429","0","139298","50","7911"
"2023-05-07","345907","214","5016950","6560","144000","0","N/A","N/A","N/A","N/A","365391","0","0","139360","62","6436"
"2023-05-08","346135","228","5022708","5758","144000","0","N/A","N/A","N/A","N/A","365391","0","0","139422","62","6625"
