"Date","Spotify followers total","Spotify followers new","Youtube subscribers total","Youtube subscribers new","Instagram followers total","Instagram followers new","Facebook followers total","Facebook followers new","Deezer fans total","Deezer fans new","X followers total","X followers new","Soundcloud followers total","Soundcloud followers new","Tiktok followers total","Tiktok followers new"
"2023-03-06","335411","742","139000","0","356097","1268","216563","87","56965","71","89497","300","136724","211","",""
"2023-03-13","336718","1364","140000","1000","357077","832","216639","73","57094","136","89848","327","137016","291","",""
"2023-03-20","337896","1186","140000","750","358078","1149","216679","67","57227","133","90009","161","137325","305","",""
"2023-03-27","339028","1068","141000","250","359260","1030","216733","25","57320","104","90166","176","137591","256","",""
"2023-04-03","340035","1102","142000","875","359705","597","216884","126","57423","99","90338","170","137884","294","",""
"2023-04-10","341145","1083","142000","125","360987","1135","217055","200","57513","95","90366","47","138154","264","",""
"2023-04-17","342170","1046","143000","875","361625","785","217107","50","57606","96","90366","0","138423","282","",""
"2023-04-24","343277","1089","143000","125","362279","816","217151","48","57708","95","90366","0","138687","263","",""
"2023-05-01","344765","1446","143000","625","364202","1518","217276","54","57806","99","90366","0","139039","346","",""
"2023-05-08","345907","1129","144000","375","365391","1432","217495","297","57882","79","90366","0","139360","302","",""
"2023-05-15","347340","1433","144000","625","368088","2697","217552","29","58002","118","90366","0","139693","358","",""
"2023-05-22","348667","1361","145000","375","369784","1696","217719","187","58111","110","90366","0","140011","313","",""
"2023-05-29","349839","1187","145000","625","370886","1019","217781","67","58221","105","90366","0","140266","274","",""
"2023-06-05","351056","1209","146000","375","371718","915","217864","82","58317","90","90366","0","140526","244","",""
"2023-06-12","352326","1264","146000","750","372930","1212","217916","58","58396","85","90366","0","140807","273","","103"
"2023-06-19","353737","1352","147000","500","375021","1857","218076","158","58511","113","90366","0","141138","333","1633","156"
"2023-06-26","355229","1454","148000","750","376116","1329","218142","62","58618","113","90366","0","141465","326","1812","232"
"2023-07-03","356659","1477","148000","625","377954","1838","218353","164","58724","98","90366","0","141821","362","1964","254"
"2023-07-10","357971","1352","149000","375","380217","1955","218482","174","58828","104","90366","0","142179","364","3053","951"
"2023-07-17","359249","1264","150000","875","381516","1410","218549","53","58956","131","90366","0","142524","332","3271","195"
"2023-07-24","360860","1405","150000","250","383494","1830","218655","93","59075","112","90366","0","142913","378","3406","193"
"2023-07-31","362603","1951","151000","875","385026","1564","218738","111","59209","138","90366","0","143276","367","3636","223"
"2023-08-07","364050","1424","151000","375","386236","1523","218793","48","59324","119","90366","0","143584","333","3758","119"
"2023-08-14","365647","1603","152000","625","388573","2151","218884","62","59442","117","90366","0","143950","327","3972","189"
"2023-08-21","367135","1495","152000","375","390660","1976","219102","250","59572","129","90366","0","144303","364","4670","1164"
"2023-08-28","368642","1502","153000","625","392270","1907","219132","27","59726","150","90366","0","144640","337","6588","1452"
"2023-09-04","370125","1487","153000","375","395503","3233","219268","92","59858","135","90366","0","145013","380","8026","1733"
"2023-09-11","371616","1475","154000","625","397983","2884","219411","184","60013","150","90366","0","145412","401","9221","808"
"2023-09-18","374087","2298","154000","750","402094","3284","219599","186","60169","154","90366","0","145788","379","9505","376"
"2023-09-25","376379","2457","155000","875","404127","2456","219776","188","60303","144","90366","0","146124","381","10100","660"
"2023-10-02","377884","1530","156000","375","405220","1358","219907","129","60428","121","90366","0","146487","323","10500","455"
"2023-10-09","379453","1375","156000","750","408293","2272","220086","169","60547","105","90366","0","146772","297","11000","340"
"2023-10-16","381126","1604","157000","250","411091","3334","220197","133","60669","122","90366","0","147074","286","11500","540"
"2023-10-23","382200","1174","157000","750","411900","978","220416","175","60813","141","90366","0","147367","296","11700","264"
"2023-10-30","383461","1283","158000","250","413116","928","220598","207","60956","145","90366","0","147618","262","11900","234"
"2023-11-06","384699","1235","158000","250","413759","762","220693","100","61091","133","90366","0","147871","257","12100","215"
"2023-11-13","385809","1095","159000","750","414119","448","220749","55","61282","182","90366","0","148132","258","12300","87"
"2023-11-20","387014","1195","159000","0","415177","970","220848","93","61457","172","90366","0","148415","283","12300","0"
"2023-11-27","388372","1326","159000","750","417453","1842","220980","121","61596","151","90366","0","148687","258","12300","150"
"2023-12-04","390210","1832","160000","250","418364","1345","221171","208","61763","159","90366","0","148945","265","12700","250"
"2023-12-11","391616","1426","160000","250","418909","545","221273","99","61905","146","90366","0","149214","277","12700","0"
"2023-12-18","392911","1342","161000","750","418909","0","221486","199","62023","123","90366","0","149422","205","12700","0"
"2023-12-25","393863","950","161000","0","418909","0","221587","117","62138","122","90366","0","149635","213","12700","0"
"2024-01-01","395082","1218","161000","250","418909","466","221638","78","62256","106","90366","0","149868","223","12700","0"
"2024-01-08","396451","1341","162000","750","420779","1404","221722","62","62345","96","90366","0","150122","263","12700","335"
"2024-01-15","398204","1650","162000","0","420779","247","221776","50","62486","138","90366","0","150429","301","13600","597"
"2024-01-22","399730","1623","162000","500","422804","1778","222058","273","62661","167","90366","0","150727","295","13700","117"
"2024-01-29","401018","1486","163000","500","422804","0","222112","82","62867","210","90366","0","151051","332","13800","51"
"2024-02-05","402751","1599","163000","0","422804","0","222159","32","63024","161","90366","0","151254","215","13800","110"
"2024-02-12","404113","1251","164000","875","422804","1822","222302","139","63199","174","90366","0","151554","285","14100","190"
"2024-02-19","405542","1540","164000","125","427361","2735","222334","36","63373","165","90366","0","151849","271","14100","0"
"2024-02-26","407554","1749","164000","625","428366","1978","222454","91","63558","189","90366","0","152175","334","14100","0"
