"Date","Followers","Listeners"
"2021-03-07","240224","5029830"
"2021-03-14","241369","4946617"
"2021-03-21","241923","4928757"
"2021-03-28","243282","4860623"
"2021-04-04","244412","4867137"
"2021-04-11","245456","4840815"
"2021-04-18","246401","4851183"
"2021-04-25","247318","4874631"
"2021-05-02","248215","4830348"
"2021-05-09","249030","4804727"
"2021-05-16","249843","4786898"
"2021-05-23","250487","4710667"
"2021-05-30","251160","4649502"
"2021-06-06","251956","4706032"
"2021-06-13","252685","4698322"
"2021-06-20","253327","4721533"
"2021-06-27","253995","4713888"
"2021-07-04","254702","4607945"
"2021-07-11","255515","4585665"
"2021-07-18","256242","4572975"
"2021-07-25","256999","4617220"
"2021-08-01","257753","4650767"
"2021-08-08","258710","4774862"
"2021-08-15","259540","4900220"
"2021-08-22","260285","4852102"
"2021-08-29","261425","4854559"
"2021-09-05","262267","4701239"
"2021-09-12","263238","4502313"
"2021-09-19","264421","4408095"
"2021-09-26","265239","4333116"
"2021-10-03","266089","4273455"
"2021-10-10","267007","4245395"
"2021-10-17","267723","4202820"
"2021-10-24","268423","4173885"
"2021-10-31","269205","4162488"
"2021-11-07","269900","4126512"
"2021-11-14","270617","4117543"
"2021-11-21","271119","4087876"
"2021-11-28","272203","4032676"
"2021-12-05","273091","4022801"
"2021-12-12","274211","4013202"
"2021-12-19","275093","3984699"
"2021-12-26","275890","3921421"
"2022-01-02","276712","3943538"
"2022-01-09","277422","3897907"
"2022-01-16","278035","3893595"
"2022-01-23","278856","3961443"
"2022-01-30","279735","3937324"
"2022-02-06","280485","3973537"
"2022-02-13","281208","3980237"
"2022-02-20","281996","3961006"
"2022-02-27","282990","3963895"
"2022-03-06","284098","4019053"
"2022-03-13","285111","4034690"
"2022-03-20","286013","4085314"
"2022-03-27","286893","4095401"
"2022-04-03","287779","4074203"
"2022-04-10","288683","4070072"
"2022-04-17","289721","4121203"
"2022-04-24","290557","4120643"
"2022-05-01","291274","4111270"
"2022-05-08","291996","4100431"
"2022-05-15","292999","4068231"
"2022-05-22","293920","4041228"
"2022-05-29","294450","4022570"
"2022-06-05","295142","4012055"
"2022-06-12","295906","3959346"
"2022-06-19","296899","3938264"
"2022-06-26","297872","3917221"
"2022-07-03","298804","3870369"
"2022-07-10","299223","3861706"
"2022-07-17","300406","3833890"
"2022-07-24","301325","3886935"
"2022-07-31","302296","3923064"
"2022-08-07","303381","4062389"
"2022-08-14","304453","4187900"
"2022-08-21","305521","4232293"
"2022-08-28","306596","4299929"
"2022-09-04","305794","4313971"
"2022-09-11","306800","4276049"
"2022-09-18","307627","4247461"
"2022-09-25","308517","4215111"
"2022-10-02","309455","4176404"
"2022-10-09","310351","4158312"
"2022-10-16","311334","4140786"
"2022-10-23","312229","4101879"
"2022-10-30","313525","4185027"
"2022-11-06","314670","4310306"
"2022-11-13","315898","4419944"
"2022-11-20","316979","4483370"
"2022-11-27","317970","4460813"
"2022-12-04","319742","4402953"
"2022-12-11","320934","4355033"
"2022-12-18","322209","4339744"
"2022-12-25","323353","4328390"
"2023-01-01","324521","4354397"
"2023-01-08","325754","4403086"
"2023-01-15","327247","4463986"
"2023-01-22","328657","4556495"
"2023-01-29","329849","4549501"
"2023-02-05","330859","4537390"
"2023-02-12","331862","4492690"
"2023-02-19","332815","4469934"
"2023-02-26","333899","4458914"
"2023-03-05","335411","4505100"
"2023-03-12","336718","4582102"
"2023-03-19","337896","4629964"
"2023-03-26","339028","4665125"
"2023-04-02","340035","4654232"
"2023-04-09","341145","4699647"
"2023-04-16","342170","4787090"
"2023-04-23","343277","4891373"
"2023-04-30","344765","4987224"
"2023-05-07","345907","5016950"
"2023-05-14","347340","5051368"
"2023-05-21","348667","5087211"
"2023-05-28","349839","5146694"
"2023-06-04","351056","5199311"
"2023-06-11","352326","5224673"
"2023-06-18","353737","5287644"
"2023-06-25","355229","5305696"
"2023-07-02","356659","5305971"
"2023-07-09","357971","5345783"
"2023-07-16","359249","5336686"
"2023-07-23","360860","5468049"
"2023-07-30","362603","5713931"
"2023-08-06","364050","5848763"
"2023-08-13","365647","6008252"
"2023-08-20","367135","6099199"
"2023-08-27","368642","6142672"
"2023-09-03","370125","6203939"
"2023-09-10","371616","6198625"
"2023-09-17","374087","6294345"
"2023-09-24","376379","6372358"
"2023-10-01","377884","6300277"
"2023-10-08","379453","6250446"
"2023-10-15","381126","6098434"
"2023-10-22","382200","5896637"
"2023-10-29","383461","5813259"
"2023-11-05","384699","5715995"
"2023-11-12","385809","5669079"
"2023-11-19","387014","5660934"
"2023-11-26","388372","5607209"
"2023-12-03","390210","5615174"
"2023-12-10","391616","5628205"
"2023-12-17","392911","5616283"
"2023-12-24","393863","5593643"
"2023-12-31","395082","5527030"
"2024-01-07","396451","5589037"
"2024-01-14","398204","5712813"
"2024-01-21","399730","5833217"
"2024-01-28","401018","5992299"
"2024-02-04","402751","6028974"
"2024-02-11","404113","6054252"
"2024-02-18","405542","6013712"
"2024-02-25","407554","6058903"
