"Country","Viberate overall audience (%)","Spotify monthly listeners","Spotify monthly listeners (%)","Spotify monthly listeners growth","Youtube monthly views","Youtube monthly views (%)","Youtube monthly views growth","Youtube subscribers","Youtube subscribers (%)","Instagram followers","Instagram followers (%)","Tiktok followers","Tiktok followers (%)"
"Germany","24.69%","402","24.54%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States","7.41%","122","7.45%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United Kingdom","5.19%","86","5.25%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Netherlands","5.19%","84","5.13%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Mexico","4.94%","81","4.95%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Spain","4.94%","79","4.82%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Italy","4.44%","73","4.46%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Colombia","3.95%","66","4.03%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Canada","3.46%","55","3.36%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"France","3.21%","53","3.24%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Australia","3.21%","51","3.11%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Chile","2.72%","46","2.81%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Sweden","2.72%","45","2.75%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Austria","2.72%","44","2.69%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Argentina","2.47%","40","2.44%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Belgium","2.22%","38","2.32%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Hungary","1.98%","32","1.95%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Switzerland","1.98%","31","1.89%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Finland","1.73%","27","1.65%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Norway","1.73%","27","1.65%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Poland","1.48%","26","1.59%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Turkey","1.48%","26","1.59%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Costa Rica","1.23%","22","1.34%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Greece","1.23%","19","1.16%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Romania","0.99%","17","1.04%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Brazil","0.99%","16","0.98%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"South Africa","0.99%","16","0.98%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Denmark","0.74%","14","0.85%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
