"Date","Spotify followers","Spotify followers change","Spotify monthly listeners","Spotify monthly listeners change","Youtube subscribers","Youtube subscribers change","TikTok followers","TikTok followers change","TikTok likes","TikTok views","Instagram followers","Instagram followers change","Instagram likes","SoundCloud followers","SoundCloud followers change","SoundCloud plays"
"2023-03-27","1361","0","2912","0","N/A","N/A","N/A","N/A","N/A","N/A","14536","0","0","4348","0","29"
"2023-03-28","1361","0","2881","-31","N/A","N/A","N/A","N/A","N/A","N/A","14514","-22","279","4349","1","45"
"2023-03-29","1362","1","2880","-1","N/A","N/A","N/A","N/A","N/A","N/A","14514","0","0","4350","1","29"
"2023-03-30","1363","1","2843","-37","N/A","N/A","N/A","N/A","N/A","N/A","14524","10","24","4351","1","16"
"2023-03-31","1364","1","2826","-17","N/A","N/A","N/A","N/A","N/A","N/A","14524","0","0","4352","1","30"
"2023-04-01","1367","3","2795","-31","N/A","N/A","N/A","N/A","N/A","N/A","14531","7","62","4351","-1","40"
"2023-04-02","1368","1","2789","-6","N/A","N/A","N/A","N/A","N/A","N/A","14531","0","0","4351","0","38"
"2023-04-03","1368","0","2796","7","N/A","N/A","N/A","N/A","N/A","N/A","14535","4","21","4351","0","26"
"2023-04-04","1368","0","2773","-23","N/A","N/A","N/A","N/A","N/A","N/A","14535","0","0","4352","1","27"
"2023-04-05","1368","0","2744","-29","N/A","N/A","N/A","N/A","N/A","N/A","14533","-2","11","4353","1","25"
"2023-04-06","1368","0","2724","-20","N/A","N/A","N/A","N/A","N/A","N/A","14533","0","0","4353","0","33"
"2023-04-07","1368","0","2704","-20","N/A","N/A","N/A","N/A","N/A","N/A","14528","-5","26","4355","2","35"
"2023-04-08","1368","0","2695","-9","N/A","N/A","N/A","N/A","N/A","N/A","14528","0","0","4355","0","37"
"2023-04-09","1368","0","2674","-21","N/A","N/A","N/A","N/A","N/A","N/A","14516","-12","9","4355","0","17"
"2023-04-10","1367","-1","2658","-16","N/A","N/A","N/A","N/A","N/A","N/A","14516","0","0","4353","-2","28"
"2023-04-11","1367","0","2654","-4","N/A","N/A","N/A","N/A","N/A","N/A","14504","-12","6","4355","2","30"
"2023-04-12","1367","0","2660","6","N/A","N/A","N/A","N/A","N/A","N/A","14504","0","0","4356","1","46"
"2023-04-13","1368","1","2647","-13","N/A","N/A","N/A","N/A","N/A","N/A","14476","-28","136","4357","1","37"
"2023-04-14","1368","0","2634","-13","N/A","N/A","N/A","N/A","N/A","N/A","14476","0","0","4357","0","33"
"2023-04-15","1369","1","2633","-1","N/A","N/A","N/A","N/A","N/A","N/A","14461","-15","82","4358","1","32"
