"Date","New followers","Total followers"
"2023-04-02","4","4351"
"2023-04-09","3","4355"
"2023-04-16","14","4360"
"2023-04-23","2","4372"
"2023-04-30","11","4376"
"2023-05-07","12","4389"
"2023-05-14","1","4398"
"2023-05-21","-2","4398"
"2023-05-28","4","4396"
"2023-06-04","6","4402"
"2023-06-11","7","4408"
"2023-06-18","6","4417"
"2023-06-25","11","4419"
"2023-07-02","8","4431"
"2023-07-09","5","4439"
"2023-07-16","7","4444"
"2023-07-23","-2","4450"
"2023-07-30","4","4450"
"2023-08-06","3","4452"
"2023-08-13","5","4456"
"2023-08-20","5","4463"
"2023-08-27","3","4465"
"2023-09-03","3","4468"
"2023-09-10","2","4470"
"2023-09-17","4","4474"
"2023-09-24","9","4477"
"2023-10-01","3","4487"
"2023-10-08","4","4489"
"2023-10-15","2","4493"
"2023-10-22","1","4496"
"2023-10-29","7","4497"
"2023-11-05","-12","4487"
"2023-11-12","8","4493"
"2023-11-19","5","4499"
"2023-11-26","2","4505"
"2023-12-03","3","4507"
"2023-12-10","5","4509"
"2023-12-17","2","4516"
"2023-12-24","15","4518"
"2023-12-31","7","4531"
"2024-01-07","12","4540"
"2024-01-14","7","4550"
"2024-01-21","3","4559"
"2024-01-28","6","4561"
"2024-02-04","3","4566"
"2024-02-11","7","4571"
"2024-02-18","0","4575"
"2024-02-25","5","4578"
