"Date","Plays"
"2023-04-09","221"
"2023-04-16","223"
"2023-04-23","301"
"2023-04-30","335"
"2023-05-07","244"
"2023-05-14","269"
"2023-05-21","188"
"2023-05-28","145"
"2023-06-04","185"
"2023-06-11","187"
"2023-06-18","146"
"2023-06-25","144"
"2023-07-02","475"
"2023-07-09","318"
"2023-07-16","296"
"2023-07-23","249"
"2023-07-30","162"
"2023-08-06","177"
"2023-08-13","136"
"2023-08-20","365"
"2023-08-27","180"
"2023-09-03","97"
"2023-09-10","151"
"2023-09-17","109"
"2023-09-24","97"
"2023-10-01","129"
"2023-10-08","96"
"2023-10-15","196"
"2023-10-22","228"
"2023-10-29","139"
"2023-11-05","202"
"2023-11-12","243"
"2023-11-19","156"
"2023-11-26","291"
"2023-12-03","236"
"2023-12-10","133"
"2023-12-17","134"
"2023-12-24","129"
"2023-12-31","465"
"2024-01-07","212"
"2024-01-14","228"
"2024-01-21","534"
"2024-01-28","211"
"2024-02-04","224"
"2024-02-11","186"
"2024-02-18","217"
"2024-02-25","147"
"2024-03-03","107"
