"Date","Followers","Monthly listeners","Monthly streams","Listeners/followers","Streams/listeners"
"2021-02-28","N/A","N/A","2854","N/A","N/A"
"2021-03-07","1088","6264","1961","5.76","0.31"
"2021-03-14","1092","6053","1087","5.54","0.18"
"2021-03-21","1094","5462","814","4.99","0.15"
"2021-03-28","1101","4653","930","4.23","0.20"
"2021-04-04","1105","3880","682","3.51","0.18"
"2021-04-11","1104","3695","704","3.35","0.19"
"2021-04-18","1107","3652","657","3.30","0.18"
"2021-04-25","1107","3611","783","3.26","0.22"
"2021-05-02","1109","3615","734","3.26","0.20"
"2021-05-09","1112","3687","694","3.32","0.19"
"2021-05-16","1117","3797","693","3.40","0.18"
"2021-05-23","1118","3807","610","3.41","0.16"
"2021-05-30","1120","3841","858","3.43","0.22"
"2021-06-06","1124","3790","865","3.37","0.23"
"2021-06-13","1126","3674","624","3.26","0.17"
"2021-06-20","1126","3674","1183","3.26","0.32"
"2021-06-27","1127","3659","668","3.25","0.18"
"2021-07-04","1129","3680","719","3.26","0.20"
"2021-07-11","1134","3759","743","3.31","0.20"
"2021-07-18","1137","3835","806","3.37","0.21"
"2021-07-25","1134","3872","751","3.41","0.19"
"2021-08-01","1138","3933","724","3.46","0.18"
"2021-08-08","1141","3946","1071","3.46","0.27"
"2021-08-15","1146","3860","818","3.37","0.21"
"2021-08-22","1149","3821","733","3.33","0.19"
"2021-08-29","1154","3739","845","3.24","0.23"
"2021-09-05","1157","3717","839","3.21","0.23"
"2021-09-12","1163","3841","806","3.30","0.21"
"2021-09-19","1169","3896","761","3.33","0.20"
"2021-09-26","1176","4018","706","3.42","0.18"
"2021-10-03","1181","4050","493","3.43","0.12"
"2021-10-10","1182","4158","1128","3.52","0.27"
"2021-10-17","1184","4277","756","3.61","0.18"
"2021-10-24","1185","4297","727","3.63","0.17"
"2021-10-31","1186","4597","950","3.88","0.21"
"2021-11-07","1185","4623","717","3.90","0.16"
"2021-11-14","1188","4518","1309","3.80","0.29"
"2021-11-21","1189","4681","805","3.94","0.17"
"2021-11-28","1188","4351","868","3.66","0.20"
"2021-12-05","1189","4264","810","3.59","0.19"
"2021-12-12","1193","4299","881","3.60","0.20"
"2021-12-19","1194","4226","1101","3.54","0.26"
"2021-12-26","1194","4226","720","3.54","0.17"
"2022-01-02","1200","4149","754","3.46","0.18"
"2022-01-09","1207","4003","747","3.32","0.19"
"2022-01-16","1210","3948","326","3.26","0.08"
"2022-01-23","1211","3825","1412","3.16","0.37"
"2022-01-30","1216","3819","2231","3.14","0.58"
"2022-02-06","1221","3875","813","3.17","0.21"
"2022-02-13","1226","3978","847","3.24","0.21"
"2022-02-20","1229","3996","931","3.25","0.23"
"2022-02-27","1233","4235","1131","3.43","0.27"
"2022-03-06","1236","4154","1119","3.36","0.27"
"2022-03-13","1240","4062","1028","3.28","0.25"
"2022-03-20","1242","4206","1164","3.39","0.28"
"2022-03-27","1245","4075","1126","3.27","0.28"
"2022-04-03","1251","4265","1134","3.41","0.27"
"2022-04-10","1255","4370","912","3.48","0.21"
"2022-04-17","1258","4304","1145","3.42","0.27"
"2022-04-24","1263","4227","1176","3.35","0.28"
"2022-05-01","1264","4142","1200","3.28","0.29"
"2022-05-08","1265","4093","1168","3.24","0.29"
"2022-05-15","1267","4081","1292","3.22","0.32"
"2022-05-22","1269","4076","1259","3.21","0.31"
"2022-05-29","1274","4080","1237","3.20","0.30"
"2022-06-05","1274","4072","1395","3.20","0.34"
"2022-06-12","1276","4107","1429","3.22","0.35"
"2022-06-19","1277","4151","1423","3.25","0.34"
"2022-06-26","1278","4228","1456","3.31","0.34"
"2022-07-03","1286","4225","1340","3.29","0.32"
"2022-07-10","1289","4319","1360","3.35","0.31"
"2022-07-17","1291","4259","1281","3.30","0.30"
"2022-07-24","1296","4205","1340","3.24","0.32"
"2022-07-31","1297","4134","1282","3.19","0.31"
"2022-08-07","1301","4025","1329","3.09","0.33"
"2022-08-14","1303","3924","1168","3.01","0.30"
"2022-08-21","1307","3892","1095","2.98","0.28"
"2022-08-28","1308","3939","1541","3.01","0.39"
"2022-09-04","1290","3839","1082","2.98","0.28"
"2022-09-11","1296","3814","1211","2.94","0.32"
"2022-09-18","1296","3632","1045","2.80","0.29"
"2022-09-25","1298","3453","1044","2.66","0.30"
"2022-10-02","1299","3495","1114","2.69","0.32"
"2022-10-09","1304","3462","1043","2.65","0.30"
"2022-10-16","1313","3581","1065","2.73","0.30"
"2022-10-23","1315","3637","1082","2.77","0.30"
"2022-10-30","1316","3563","1000","2.71","0.28"
"2022-11-06","1321","3456","1008","2.62","0.29"
"2022-11-13","1324","3352","1099","2.53","0.33"
"2022-11-20","1324","3255","1025","2.46","0.31"
"2022-11-27","1326","3150","890","2.38","0.28"
"2022-12-04","1330","3099","875","2.33","0.28"
"2022-12-11","1331","3041","1003","2.28","0.33"
"2022-12-18","1334","2978","998","2.23","0.34"
"2022-12-25","1334","2947","680","2.21","0.23"
"2023-01-01","1336","2895","1118","2.17","0.39"
"2023-01-08","1337","2887","889","2.16","0.31"
"2023-01-15","1338","2850","875","2.13","0.31"
"2023-01-22","1343","2856","1019","2.13","0.36"
"2023-01-29","1344","2875","960","2.14","0.33"
"2023-02-05","1345","2839","902","2.11","0.32"
"2023-02-12","1345","2834","896","2.11","0.32"
"2023-02-19","1347","2841","908","2.11","0.32"
"2023-02-26","1349","2924","735","2.17","0.25"
"2023-03-05","1352","3056","856","2.26","0.28"
"2023-03-12","1356","3082","817","2.27","0.27"
"2023-03-19","1360","3011","801","2.21","0.27"
"2023-03-26","1360","2923","731","2.15","0.25"
"2023-04-02","1368","2789","957","2.04","0.34"
"2023-04-09","1368","2674","772","1.95","0.29"
"2023-04-16","1369","2645","718","1.93","0.27"
"2023-04-23","1372","2579","755","1.88","0.29"
"2023-04-30","1376","2526","992","1.84","0.39"
"2023-05-07","1376","2418","755","1.76","0.31"
"2023-05-14","1378","3526","7495","2.56","2.13"
"2023-05-21","1378","3959","4716","2.87","1.19"
"2023-05-28","1382","4108","1229","2.97","0.30"
"2023-06-04","1382","4119","748","2.98","0.18"
"2023-06-11","1385","3140","1825","2.27","0.58"
"2023-06-18","1387","2709","827","1.95","0.31"
"2023-06-25","1389","2466","766","1.78","0.31"
"2023-07-02","1390","2429","712","1.75","0.29"
"2023-07-09","1395","2213","802","1.59","0.36"
"2023-07-16","1397","2202","772","1.58","0.35"
"2023-07-23","1399","2715","778","1.94","0.29"
"2023-07-30","1400","2807","656","2.00","0.23"
"2023-08-06","1402","2772","747","1.98","0.27"
"2023-08-13","1401","2773","725","1.98","0.26"
"2023-08-20","1405","2201","590","1.57","0.27"
"2023-08-27","1407","2120","661","1.51","0.31"
"2023-09-03","1408","2118","625","1.50","0.30"
"2023-09-10","1411","2038","572","1.44","0.28"
"2023-09-17","1410","2041","683","1.45","0.33"
"2023-09-24","1411","1974","596","1.40","0.30"
"2023-10-01","1413","1941","639","1.37","0.33"
"2023-10-08","1420","1947","637","1.37","0.33"
"2023-10-15","1425","1921","600","1.35","0.31"
"2023-10-22","1422","1952","605","1.37","0.31"
"2023-10-29","1426","2022","725","1.42","0.36"
"2023-11-05","1434","2066","662","1.44","0.32"
"2023-11-12","1439","2140","680","1.49","0.32"
"2023-11-19","1448","2241","617","1.55","0.28"
"2023-11-26","1456","2375","1460","1.63","0.61"
"2023-12-03","1460","4228","1016","2.90","0.24"
"2023-12-10","1472","4363","769","2.96","0.18"
"2023-12-17","1476","5261","767","3.56","0.15"
"2023-12-24","1486","7528","4127","5.07","0.55"
"2023-12-31","1484","6648","2845","4.48","0.43"
"2024-01-07","1493","7600","1014","5.09","0.13"
"2024-01-14","1499","8924","4238","5.95","0.47"
"2024-01-21","1560","8498","5176","5.45","0.61"
"2024-01-28","1569","8142","1471","5.19","0.18"
"2024-02-04","1573","7372","2471","4.69","0.34"
"2024-02-11","1634","5893","2344","3.61","0.40"
"2024-02-18","1632","4219","1491","2.59","0.35"
"2024-02-25","1634","3865","1497","2.37","0.39"
