"Country","Viberate overall audience (%)","Spotify monthly listeners","Spotify monthly listeners (%)","Spotify monthly listeners growth","Youtube monthly views","Youtube monthly views (%)","Youtube monthly views growth","Youtube subscribers","Youtube subscribers (%)","Instagram followers","Instagram followers (%)","Tiktok followers","Tiktok followers (%)"
"United Kingdom","22.65%","504480","30.10%","N/A","526810","13.61%","N/A","42679","12.63%","70379","31.20%","36193","83.44%"
"United States","17.58%","269896","16.10%","N/A","592434","15.31%","N/A","50376","14.91%","74362","32.97%","3814","8.79%"
"Brazil","6.71%","30166","1.80%","N/A","161488","4.17%","N/A","44079","13.04%","13218","5.86%","N/A","N/A"
"Poland","4.54%","29233","1.74%","N/A","277353","7.17%","N/A","18191","5.38%","3413","1.51%","N/A","N/A"
"Australia","4.35%","279297","16.67%","N/A","131259","3.39%","N/A","N/A","N/A","8403","3.73%","570","1.31%"
"Mexico","3.91%","32750","1.95%","N/A","110275","2.85%","N/A","20990","6.21%","10154","4.50%","N/A","N/A"
"Russian Federation","3.43%","0","0","N/A","109068","2.82%","N/A","23088","6.83%","5033","2.23%","N/A","N/A"
"Canada","2.90%","72891","4.35%","N/A","113156","2.92%","N/A","9095","2.69%","5952","2.64%","395","0.91%"
"Germany","2.75%","85338","5.09%","N/A","135625","3.50%","N/A","6296","1.86%","3413","1.51%","N/A","N/A"
"Ukraine","2.75%","N/A","N/A","N/A","273094","7.06%","N/A","5597","1.66%","N/A","N/A","N/A","N/A"
"Romania","2.46%","N/A","N/A","N/A","136447","3.53%","N/A","13993","4.14%","N/A","N/A","N/A","N/A"
"Hungary","2.27%","27596","1.65%","N/A","144792","3.74%","N/A","9095","2.69%","N/A","N/A","N/A","N/A"
"Spain","2.27%","18906","1.13%","N/A","50206","1.30%","N/A","12594","3.73%","7221","3.20%","N/A","N/A"
"Bulgaria","1.83%","N/A","N/A","N/A","54803","1.42%","N/A","14692","4.35%","N/A","N/A","N/A","N/A"
"France","1.79%","19177","1.14%","N/A","84372","2.18%","N/A","7696","2.28%","2976","1.32%","N/A","N/A"
"Italy","1.45%","16225","0.97%","N/A","46691","1.21%","N/A","5597","1.66%","6302","2.79%","N/A","N/A"
"Argentina","1.45%","0","0","N/A","66038","1.71%","N/A","7696","2.28%","2845","1.26%","N/A","N/A"
"Ireland","1.40%","62142","3.71%","N/A","51119","1.32%","N/A","N/A","N/A","4814","2.13%","614","1.42%"
"Lithuania","1.35%","N/A","N/A","N/A","75907","1.96%","N/A","7696","2.28%","N/A","N/A","N/A","N/A"
"India","1.30%","N/A","N/A","N/A","43384","1.12%","N/A","7696","2.28%","3676","1.63%","N/A","N/A"
"Chile","1.16%","29011","1.73%","N/A","33373","0.86%","N/A","6296","1.86%","N/A","N/A","N/A","N/A"
"Colombia","1.11%","0","0","N/A","37651","0.97%","N/A","6296","1.86%","3413","1.51%","N/A","N/A"
"Netherlands","1.06%","77003","4.59%","N/A","38642","1.00%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"South Africa","1.06%","N/A","N/A","N/A","58537","1.51%","N/A","5597","1.66%","N/A","N/A","263","0.61%"
"Serbia","0.97%","N/A","N/A","N/A","27937","0.72%","N/A","7696","2.28%","N/A","N/A","N/A","N/A"
"Peru","0.58%","N/A","N/A","N/A","9966","0.26%","N/A","4897","1.45%","N/A","N/A","N/A","N/A"
"Belgium","0.48%","28073","1.68%","N/A","25164","0.65%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Czech Republic","0.48%","17868","1.07%","N/A","35575","0.92%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"New Zealand","0.34%","23512","1.40%","N/A","13209","0.34%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Switzerland","0.34%","16696","1.00%","N/A","26394","0.68%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Norway","0.29%","18412","1.10%","N/A","11085","0.29%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Greece","0.24%","0","0","N/A","29258","0.76%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Indonesia","0.24%","N/A","N/A","N/A","5915","0.15%","N/A","N/A","N/A","N/A","N/A","1525","3.52%"
"Croatia","0.19%","N/A","N/A","N/A","20944","0.54%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Turkey","0.14%","17230","1.03%","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Austria","0.14%","0","0","N/A","19735","0.51%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Slovakia","0.14%","N/A","N/A","N/A","20143","0.52%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Latvia","0.14%","N/A","N/A","N/A","16953","0.44%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"South Korea","0.14%","N/A","N/A","N/A","16809","0.43%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Israel","0.14%","N/A","N/A","N/A","16737","0.43%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Portugal","0.14%","N/A","N/A","N/A","15434","0.40%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
