"Date","Spotify streams","Youtube views","Instagram post likes","Shazams","Airplay spins","X likes","Soundcloud plays","Tiktok likes"
"2023-03-06","2360676","1111635","2000","9100","1598","596","34577","324"
"2023-03-13","2296357","1039811","19000","15089","2204","626","59350","328"
"2023-03-20","2781019","1217224","12000","15583","2288","535","63478","203"
"2023-03-27","2888573","1115013","10000","16352","2226","2273","61999","163"
"2023-04-03","3241382","1243398","7047","24315","2120","987","74051","249"
"2023-04-10","2834305","1403092","11514","18285","2509","823","64082","185"
"2023-04-17","2799995","1035766","15509","20006","2293","280","63899","303"
"2023-04-24","3046536","1444340","6201","22293","2208","0","73367","2823"
"2023-05-01","3840303","1725003","14300","21496","2281","0","73078","1106"
"2023-05-08","3397906","1500284","8900","21374","2200","0","71799","201"
"2023-05-15","3477890","1215898","46600","19297","2065","0","75900","248"
"2023-05-22","3525864","1650699","8000","17893","2291","0","80876","55977"
"2023-05-29","3724409","1502624","4000","17361","2159","0","90017","39076"
"2023-06-05","3659841","1318474","9000","19591","2099","0","83187","13589"
"2023-06-12","3772029","1099266","36000","18996","2199","0","86222","3774"
"2023-06-19","4009693","1320241","23000","17029","2128","0","95501","382"
"2023-06-26","3903628","1195647","16000","17068","2173","0","88750","1057"
"2023-07-03","3677850","1169155","24000","18222","2070","0","86036","625"
"2023-07-10","3748303","1028606","11000","16736","2128","0","80246","476"
"2023-07-17","3639138","1318355","5500","17830","2043","0","79098","438"
"2023-07-24","3659724","1289407","7250","18619","2060","0","92103","543"
"2023-07-31","4136099","1093477","10500","18017","2084","0","104835","1088"
"2023-08-07","3817346","1281224","4750","22134","2108","0","89040","879"
"2023-08-14","3733958","1221924","13000","17395","2093","0","87398","415"
"2023-08-21","3839583","1137830","11000","18470","2111","0","78575","721"
"2023-08-28","3730229","900986","11000","14300","2082","0","79489","1016"
"2023-09-04","3396552","1050686","17000","39146","2149","0","72846","379"
"2023-09-11","3443419","1097727","3666","13552","2088","0","81433","128"
"2023-09-18","3676450","1035777","1334","11795","1966","0","75852","62"
"2023-09-25","2765467","872678","17000","11145","1976","0","71854","43"
"2023-10-02","3245888","1136553","2666","11005","1961","0","74243","72"
"2023-10-09","3174290","1086348","1666","11053","2319","0","70378","102"
"2023-10-16","3069571","960296","1668","11050","2547","0","68679","108"
"2023-10-23","3081800","881147","8638","11677","2445","0","67587","1492"
"2023-10-30","3114041","870791","2695","11878","2505","0","72980","805"
"2023-11-06","2963732","939726","4667","10717","2584","0","64130","702"
"2023-11-13","3048728","1110124","7666","10850","2520","0","64440","270"
"2023-11-20","2088940","1061485","4334","10930","2538","0","64794","0"
"2023-11-27","3816170","1016178","8500","10787","2522","0","61652","216"
"2023-12-04","2999851","903905","5500","10441","2530","0","60134","360"
"2023-12-11","2346058","1025016","0","10085","2467","0","60097","0"
"2023-12-18","2451131","996530","0","9903","2515","0","62154","0"
"2023-12-25","3222555","1383782","0","10463","2298","0","57582","0"
"2024-01-01","2151252","1058040","375","10290","2396","0","59166","0"
"2024-01-08","1919593","1133989","2625","11937","2142","0","62347","0"
"2024-01-15","3698432","988495","0","10007","2413","0","80248","0"
"2024-01-22","4520303","1108703","875","39402","2376","0","103924","0"
"2024-01-29","2990356","983477","1125","10414","2395","0","118260","0"
"2024-02-05","3189218","1048198","1000","10731","2285","0","125985","409"
"2024-02-12","3536406","907447","750","14099","2422","0","119732","690"
"2024-02-19","3133559","1041374","1375","12986","2331","0","101325","0"
"2024-02-26","3145731","952840","2207","9978","2387","0","97970","0"
