"Date","Spotify followers total","Spotify followers new","Youtube subscribers total","Youtube subscribers new","Instagram followers total","Instagram followers new","Facebook followers total","Facebook followers new","Deezer fans total","Deezer fans new","X followers total","X followers new","Soundcloud followers total","Soundcloud followers new","Tiktok followers total","Tiktok followers new"
"2023-03-06","421832","286","416000","375","254590","111","244624","2","177997","25","99754","84","307237","121","43700","35"
"2023-03-13","422694","801","417000","625","255210","517","244586","-28","178066","53","99844","90","307487","244","43800","97"
"2023-03-20","423644","935","417000","750","255687","580","244542","-39","178135","75","99913","60","307668","200","43900","68"
"2023-03-27","424782","1158","418000","500","257106","1209","244513","-30","178191","65","100005","104","307869","198","43900","35"
"2023-04-03","425548","795","419000","750","257653","757","244503","-17","178233","44","100022","19","308086","208","44000","65"
"2023-04-10","426234","715","419000","125","257844","179","244471","-26","178284","46","100031","10","308283","203","44000","22"
"2023-04-17","426712","443","420000","875","258156","325","244445","-37","178329","45","100047","19","308439","161","44100","118"
"2023-04-24","427519","801","420000","125","258504","411","244439","-5","178377","51","100047","0","308672","224","44500","360"
"2023-05-01","428380","851","421000","875","259409","720","244440","0","178421","44","100047","0","308892","225","44700","200"
"2023-05-08","429068","721","421000","125","259985","698","244428","-11","178473","50","100047","0","309084","196","44700","0"
"2023-05-15","429803","707","422000","875","260087","103","244253","-136","178539","67","100047","0","309254","163","44800","87"
"2023-05-22","430536","742","422000","0","260315","228","244271","-18","178585","42","100047","0","309454","205","45400","613"
"2023-05-29","431235","698","422000","750","260561","184","244261","-20","178632","51","100047","0","309668","206","45900","566"
"2023-06-05","432104","850","423000","250","261530","1031","284928","40681","178685","55","100047","0","309886","213","46400","384"
"2023-06-12","433082","967","424000","875","262756","1226","285010","52","178737","50","100047","0","310138","260","46500","198"
"2023-06-19","433976","930","424000","125","263949","939","285008","-9","178786","49","100047","0","310333","195","46700","127"
"2023-06-26","434733","735","424000","500","264939","1244","285027","45","178825","38","100047","0","310552","222","46800","175"
"2023-07-03","435625","901","425000","500","265909","970","285074","38","178886","60","100047","0","310764","215","46900","111"
"2023-07-10","436305","733","426000","875","266147","217","285150","81","178927","45","100047","0","310974","209","47000","39"
"2023-07-17","437136","791","426000","375","266491","354","285156","12","178976","42","100047","0","311175","208","47100","87"
"2023-07-24","438346","1077","427000","750","267156","540","285294","84","179030","54","100047","0","311388","204","47100","123"
"2023-07-31","439650","1391","427000","500","268427","1196","285797","419","179092","63","100047","0","311614","224","47400","212"
"2023-08-07","440740","1132","428000","500","269472","1256","285967","293","179137","48","100047","0","311817","195","47500","87"
"2023-08-14","441798","1034","428000","0","270816","1205","285956","6","179178","43","100047","0","312027","229","47600","91"
"2023-08-21","442627","857","429000","875","271573","758","285939","-16","179232","49","100047","0","312242","212","47600","150"
"2023-08-28","443435","808","429000","125","272491","1056","285900","-26","179310","77","100047","0","312457","202","47900","150"
"2023-09-04","444120","712","429000","375","273556","1065","285860","-60","179377","70","100047","0","312659","199","48000","140"
"2023-09-11","444780","674","430000","625","273983","501","285799","-53","179449","68","100047","0","312855","205","48100","60"
"2023-09-18","445249","445","430000","0","274772","647","285766","-26","179511","63","100047","0","313003","162","48100","0"
"2023-09-25","445832","576","430000","625","275203","499","285708","-59","179557","54","100047","0","313124","133","48100","35"
"2023-10-02","446606","767","431000","375","275681","602","285662","-49","179607","47","100047","0","313307","162","48200","65"
"2023-10-09","447268","590","431000","750","276733","789","285652","-16","179670","51","100047","0","313443","136","48200","9"
"2023-10-16","447953","671","432000","250","277254","660","285583","-54","179729","64","100047","0","313604","152","48300","91"
"2023-10-23","447197","-755","433000","875","277703","698","285543","-58","179784","51","100047","0","313792","191","48500","232"
"2023-10-30","448003","802","433000","750","279177","1067","285585","45","179831","51","100047","0","313989","204","48600","68"
"2023-11-06","448793","801","434000","375","279661","642","285553","-28","179885","50","100047","0","314152","151","48600","61"
"2023-11-13","449590","776","434000","625","279947","394","285517","-40","179963","76","100047","0","314312","170","48700","39"
"2023-11-20","450454","839","435000","375","280722","667","285519","-8","180075","113","100047","0","314514","195","48700","0"
"2023-11-27","451135","736","435000","0","281151","411","285515","11","180136","62","100047","0","314695","178","48700","300"
"2023-12-04","452081","905","435000","625","281357","224","285499","-22","180206","66","100047","0","314866","182","49500","500"
"2023-12-11","452885","799","436000","375","281405","48","285470","-15","180266","69","100047","0","315038","173","49500","0"
"2023-12-18","453401","699","436000","0","281405","0","285483","-3","180306","38","100047","0","315197","159","49500","0"
"2023-12-25","453074","-422","437000","875","281405","0","285446","-29","180352","45","100047","0","315317","128","49500","0"
"2024-01-01","453368","250","437000","125","281405","104","285404","-55","180419","65","100047","0","315447","117","49500","0"
"2024-01-08","453961","624","437000","0","282279","770","285315","-63","180471","57","100047","0","315624","182","49500","300"
"2024-01-15","454641","622","437000","375","282279","0","285241","-69","180525","52","100047","0","315854","219","50200","375"
"2024-01-22","455448","818","438000","625","282795","451","285240","-11","180598","72","100047","0","316204","345","50300","125"
"2024-01-29","456021","684","438000","0","282795","65","285248","-6","180663","63","100047","0","316551","339","50300","0"
"2024-02-05","456597","643","438000","250","282798","3","285183","-49","180733","71","100047","0","316715","179","50300","110"
"2024-02-12","456177","-459","439000","750","282798","304","285105","-70","180787","55","100047","0","316943","216","50600","190"
"2024-02-19","456195","-70","439000","0","283287","185","284958","-141","180843","58","100047","0","317116","193","50600","0"
"2024-02-26","456950","711","439000","0","283343","99","284865","-119","180911","65","100047","0","317303","177","50600","0"
