"Date","Soundcloud followers","Soundcloud plays","Soundcloud likes","Soundcloud comments","Soundcloud reposts"
"Dec 2022","773","304022","6128","108","189"
"Jan 2023","709","238716","4828","23","49"
"Feb 2023","935","281489","5856","95","271"
"Mar 2023","887","294186","6362","62","217"
"Apr 2023","856","351499","7142","73","188"
"May 2023","963","379623","7580","54","182"
"Jun 2023","928","394111","8295","89","214"
"Jul 2023","908","363190","6088","46","156"
"Aug 2023","738","325960","5019","42","52"
"Sep 2023","751","307076","4797","35","92"
"Oct 2023","749","271087","4101","35","95"
"Nov 2023","662","266527","4852","70","124"
"Dec 2023","1128","418196","10818","142","208"
"Jan 2024","845","441672","7968","94","202"
