"Date","Followers","Follower growth","Popularity"
"2021-02-28","340584","4413","72"
"2021-03-31","344946","4877","72"
"2021-04-30","349981","5402","72"
"2021-05-31","355247","4643","74"
"2021-06-30","359744","4834","73"
"2021-07-31","364701","4355","73"
"2021-08-31","368933","4302","72"
"2021-09-30","373356","3423","68"
"2021-10-31","376876","3616","69"
"2021-11-30","380364","3421","68"
"2021-12-31","383826","3309","69"
"2022-01-31","387101","2957","69"
"2022-02-28","390051","3286","69"
"2022-03-31","393342","3165","69"
"2022-04-30","396501","2855","69"
"2022-05-31","399371","2638","63"
"2022-06-30","401994","2854","63"
"2022-07-31","404858","2902","63"
"2022-08-31","407800","-1885","63"
"2022-09-30","405846","2942","63"
"2022-10-31","408822","2972","63"
"2022-11-30","411804","3902","62"
"2022-12-31","415693","2947","63"
"2023-01-31","418625","2701","64"
"2023-02-28","421456","3981","65"
"2023-03-31","425330","3020","64"
"2023-04-30","428380","3207","64"
"2023-05-31","431562","3718","64"
"2023-06-30","435293","4484","64"
"2023-07-31","439797","4061","63"
"2023-08-31","443813","2668","62"
"2023-09-30","446489","1640","62"
"2023-10-31","448210","3310","60"
"2023-11-30","451617","1851","60"
"2023-12-31","453368","2970","61"
"2024-01-31","456304","1075","62"
"2024-02-29","457436","241","62"
