"Date","Viberate performance points","Viberate rank"
"2023-02-27","263957","N/A"
"2023-02-28","263018","7419"
"2023-03-01","263624","7439"
"2023-03-02","264300","7490"
"2023-03-03","264030","7486"
"2023-03-04","263073","7528"
"2023-03-05","262793","7534"
"2023-03-06","262588","7548"
"2023-03-07","261664","7516"
"2023-03-08","261412","7544"
"2023-03-09","260984","7550"
"2023-03-10","261074","7556"
"2023-03-11","260680","7565"
"2023-03-12","260017","7579"
"2023-03-13","259756","7584"
"2023-03-14","260638","7530"
"2023-03-15","259527","7560"
"2023-03-16","259811","7563"
"2023-03-17","259619","7568"
"2023-03-18","260086","7574"
"2023-03-19","259040","7600"
"2023-03-20","258980","7609"
"2023-03-21","259583","7565"
"2023-03-22","260315","7576"
"2023-03-23","260812","7562"
"2023-03-24","260144","7580"
"2023-03-25","260736","7557"
"2023-03-26","260820","7557"
"2023-03-27","261057","7564"
"2023-03-28","256648","7582"
"2023-03-29","256434","7591"
"2023-03-30","255096","7627"
"2023-03-31","254654","7635"
"2023-04-01","253989","7663"
"2023-04-02","253715","7658"
"2023-04-03","255080","7659"
"2023-04-04","252835","7686"
"2023-04-05","247949","7830"
"2023-04-06","247648","7837"
"2023-04-07","245533","7889"
"2023-04-08","244466","7899"
"2023-04-09","246076","7865"
"2023-04-10","246295","7866"
"2023-04-11","246459","7850"
"2023-04-12","251619","7850"
"2023-04-13","255958","7898"
"2023-04-14","257100","7946"
"2023-04-15","256930","7935"
"2023-04-16","256623","7923"
"2023-04-17","256729","7936"
"2023-04-18","256302","7942"
"2023-04-19","255895","7947"
"2023-04-20","256457","7942"
"2023-04-21","256158","7939"
"2023-04-22","256665","7944"
"2023-04-23","256693","7937"
"2023-04-24","254504","7981"
"2023-04-25","253521","8019"
"2023-04-26","252843","8055"
"2023-04-27","252015","8060"
"2023-04-28","252079","8066"
"2023-04-29","246774","8156"
"2023-04-30","246872","8148"
"2023-05-01","246296","8139"
"2023-05-02","246656","8116"
"2023-05-03","250042","8024"
"2023-05-04","250535","8039"
"2023-05-05","250985","8041"
"2023-05-06","248052","8071"
"2023-05-07","247567","8074"
"2023-05-08","247190","8089"
"2023-05-09","245603","8129"
"2023-05-10","245694","8128"
"2023-05-11","245196","8132"
"2023-05-12","246727","8093"
"2023-05-13","246083","8110"
"2023-05-14","244611","8129"
"2023-05-15","245464","8118"
"2023-05-16","245887","8124"
"2023-05-17","246614","8117"
"2023-05-18","242230","8214"
"2023-05-19","242450","8202"
"2023-05-20","242496","8212"
"2023-05-21","241789","8216"
"2023-05-22","245746","8128"
"2023-05-23","246111","8123"
"2023-05-24","241377","8186"
"2023-05-25","238043","8091"
"2023-05-26","236238","8059"
"2023-05-27","237533","8037"
"2023-05-28","236941","8026"
"2023-05-29","235662","8025"
"2023-05-30","235813","8056"
"2023-05-31","236441","8054"
"2023-06-01","235950","8062"
"2023-06-02","235210","8071"
"2023-06-03","235214","8083"
"2023-06-04","236128","8085"
"2023-06-05","235454","8075"
"2023-06-06","235778","8061"
"2023-06-07","235735","8060"
"2023-06-08","235440","8066"
"2023-06-09","236991","8074"
"2023-06-10","236886","8074"
"2023-06-11","240135","8191"
"2023-06-12","240463","8180"
"2023-06-13","239902","8207"
"2023-06-14","239897","8226"
"2023-06-15","238509","8242"
"2023-06-16","237982","8241"
"2023-06-17","238388","8220"
"2023-06-18","239188","8214"
"2023-06-19","239796","8200"
"2023-06-20","241865","8166"
"2023-06-21","241433","8176"
"2023-06-22","242052","8171"
"2023-06-23","241741","8171"
"2023-06-24","242372","8184"
"2023-06-25","243113","8172"
"2023-06-26","243243","8178"
"2023-06-27","246085","8107"
"2023-06-28","246120","8111"
"2023-06-29","246994","8104"
"2023-06-30","247149","8099"
"2023-07-01","247016","8115"
"2023-07-02","247597","8116"
"2023-07-03","247532","8133"
"2023-07-04","249530","8107"
"2023-07-05","249438","8115"
"2023-07-06","249795","8121"
"2023-07-07","250144","8159"
"2023-07-08","249755","8179"
"2023-07-09","250676","8150"
"2023-07-10","250730","8152"
"2023-07-11","250551","8180"
"2023-07-12","250653","8192"
"2023-07-13","245347","8231"
"2023-07-14","245759","8226"
"2023-07-15","240428","8385"
"2023-07-16","240009","8404"
"2023-07-17","240352","8403"
"2023-07-18","240919","8424"
"2023-07-19","241313","8431"
"2023-07-20","241666","8432"
"2023-07-21","241920","8441"
"2023-07-22","242136","8437"
"2023-07-23","242664","8434"
"2023-07-24","242271","8442"
"2023-07-25","242890","8444"
"2023-07-26","243490","8441"
"2023-07-27","243333","8457"
"2023-07-28","244039","8471"
"2023-07-29","244828","8460"
"2023-07-30","246556","8413"
"2023-07-31","247722","8398"
"2023-08-01","247339","8401"
"2023-08-02","246831","8415"
"2023-08-03","246869","8428"
"2023-08-04","250896","8350"
"2023-08-05","250507","8370"
"2023-08-06","250608","8362"
"2023-08-07","249867","8397"
"2023-08-08","250842","8367"
"2023-08-09","250156","8385"
"2023-08-10","249898","8378"
"2023-08-11","249975","8378"
"2023-08-12","250055","8365"
"2023-08-13","250046","8361"
"2023-08-14","250448","8351"
"2023-08-15","251861","8324"
"2023-08-16","251772","8337"
"2023-08-17","252076","8339"
"2023-08-18","251914","8336"
"2023-08-19","251656","8351"
"2023-08-20","252144","8351"
"2023-08-21","252278","8336"
"2023-08-22","251960","8330"
"2023-08-23","252764","8308"
"2023-08-24","252702","8341"
"2023-08-25","247308","8508"
"2023-08-26","247515","8531"
"2023-08-27","253102","8354"
"2023-08-28","247633","8521"
"2023-08-29","248101","8520"
"2023-08-30","248352","8525"
"2023-08-31","248512","8531"
"2023-09-01","248615","8527"
"2023-09-02","248000","8551"
"2023-09-03","248055","8553"
"2023-09-04","249228","8534"
"2023-09-05","250069","8536"
"2023-09-06","250320","8512"
"2023-09-07","250569","8587"
"2023-09-08","250982","8586"
"2023-09-09","250680","8571"
"2023-09-10","250716","8607"
"2023-09-11","251517","8575"
"2023-09-12","252010","8525"
"2023-09-13","252289","8531"
"2023-09-14","252625","8569"
"2023-09-15","239817","8863"
"2023-09-16","243700","8835"
"2023-09-17","243541","8833"
"2023-09-18","243030","8841"
"2023-09-19","242928","8834"
"2023-09-20","243194","8844"
"2023-09-21","243382","8893"
"2023-09-22","243369","8936"
"2023-09-23","242185","8956"
"2023-09-24","241625","8985"
"2023-09-25","242749","8968"
"2023-09-26","242805","8932"
"2023-09-27","237197","9024"
"2023-09-28","237807","9031"
"2023-09-29","237324","9031"
"2023-09-30","237779","9028"
"2023-10-01","237588","9059"
"2023-10-02","238161","9041"
"2023-10-03","242284","8885"
"2023-10-04","241389","8888"
"2023-10-05","242260","8879"
"2023-10-06","242387","8857"
"2023-10-07","242119","8892"
"2023-10-08","242416","8887"
"2023-10-09","242106","8876"
"2023-10-10","235757","8547"
"2023-10-11","242654","8464"
"2023-10-12","242529","8483"
"2023-10-13","242785","8502"
"2023-10-14","242434","8508"
"2023-10-15","241963","8509"
"2023-10-16","242339","8517"
"2023-10-17","241824","8492"
"2023-10-18","250301","8726"
"2023-10-19","250363","8730"
"2023-10-20","249905","8735"
"2023-10-21","249313","8752"
"2023-10-22","249338","8729"
"2023-10-23","249564","8730"
"2023-10-24","249529","8709"
"2023-10-25","248836","8745"
"2023-10-26","248894","8642"
"2023-10-27","248494","8645"
"2023-10-28","247590","8625"
"2023-10-29","253372","8449"
"2023-10-30","253883","8428"
"2023-10-31","253937","8445"
"2023-11-01","254299","8410"
"2023-11-02","255692","8356"
"2023-11-03","256213","8345"
"2023-11-04","257095","8325"
"2023-11-05","257285","8320"
"2023-11-06","256855","8345"
"2023-11-07","257783","8334"
"2023-11-08","257140","8297"
"2023-11-09","257492","8303"
"2023-11-10","256855","8339"
"2023-11-11","257378","8324"
"2023-11-12","257432","8355"
"2023-11-13","257481","8363"
"2023-11-14","255636","8431"
"2023-11-15","259228","8335"
"2023-11-16","258865","8364"
"2023-11-17","259014","8359"
"2023-11-18","258812","8382"
"2023-11-19","258414","8385"
"2023-11-20","257305","8375"
"2023-11-21","256247","8390"
"2023-11-22","258546","8368"
"2023-11-23","255616","8387"
"2023-11-24","254977","8418"
"2023-11-25","254934","8398"
"2023-11-26","255177","8404"
"2023-11-27","255044","8392"
"2023-11-28","261289","8244"
"2023-11-29","261326","8247"
"2023-11-30","259852","8278"
"2023-12-01","259852","8278"
"2023-12-02","259444","8261"
"2023-12-03","258853","8279"
"2023-12-04","261514","8219"
"2023-12-05","261548","8214"
"2023-12-06","261460","8211"
"2023-12-07","259646","8229"
"2023-12-08","259138","8209"
"2023-12-09","259795","8171"
"2023-12-10","259250","8170"
"2023-12-11","265275","8013"
"2023-12-12","265454","8002"
"2023-12-13","265190","8004"
"2023-12-14","285596","7732"
"2023-12-15","286899","7756"
"2023-12-16","284406","7778"
"2023-12-17","284469","7769"
"2023-12-18","297812","7441"
"2023-12-19","297695","7433"
"2023-12-20","297750","7429"
"2023-12-21","297475","7450"
"2023-12-22","297912","7423"
"2023-12-23","296656","7453"
"2023-12-24","296685","7465"
"2023-12-25","300025","7455"
"2023-12-26","303570","7428"
"2023-12-27","304201","7410"
"2023-12-28","304118","7411"
"2023-12-29","303985","7398"
"2023-12-30","303920","7385"
"2023-12-31","303108","7400"
"2024-01-01","297503","7511"
"2024-01-02","297474","7483"
"2024-01-03","296357","7494"
"2024-01-04","296030","7491"
"2024-01-05","295647","7497"
"2024-01-06","294059","7485"
"2024-01-07","296186","7396"
"2024-01-08","294984","7411"
"2024-01-09","294454","7481"
"2024-01-10","294617","7476"
"2024-01-11","294716","7475"
"2024-01-12","295106","7485"
"2024-01-13","294977","7489"
"2024-01-14","294506","7512"
"2024-01-15","294551","7534"
"2024-01-16","295596","7550"
"2024-01-17","295526","7555"
"2024-01-18","297376","7513"
"2024-01-19","298227","7504"
"2024-01-20","298227","7504"
"2024-01-21","297221","7544"
"2024-01-22","296020","7496"
"2024-01-23","295494","7508"
"2024-01-24","300919","7519"
"2024-01-25","299877","7536"
"2024-01-26","299215","7564"
"2024-01-27","298080","7594"
"2024-01-28","298099","7597"
"2024-01-29","297932","7590"
"2024-01-30","295827","7598"
"2024-01-31","296272","7621"
"2024-02-01","296272","7621"
"2024-02-02","295550","7629"
"2024-02-03","296060","7627"
"2024-02-04","308736","7350"
"2024-02-05","309213","7356"
"2024-02-06","309316","7370"
"2024-02-07","308982","7356"
"2024-02-08","306619","7321"
"2024-02-09","306116","7233"
"2024-02-10","301726","7268"
"2024-02-11","302287","7335"
"2024-02-12","302428","7364"
"2024-02-13","301793","7367"
"2024-02-14","303521","7345"
"2024-02-15","303299","7342"
"2024-02-16","304329","7352"
"2024-02-17","304516","7350"
"2024-02-18","304230","7335"
"2024-02-19","304230","7335"
"2024-02-20","303934","7346"
"2024-02-21","299588","7442"
"2024-02-22","300046","7424"
"2024-02-23","299230","7451"
"2024-02-24","297967","7496"
"2024-02-25","298068","7504"
"2024-02-26","299355","7517"
"2024-02-27","300255","N/A"
