"Date","Spotify streams","Youtube views","Instagram post likes","Shazams","Airplay spins","X likes","Soundcloud plays","Tiktok likes"
"2023-03-06","2017284","216370","3011","3615","159","0","11686",""
"2023-03-13","2031742","204625","1976","5511","228","0","19576",""
"2023-03-20","2169780","294367","1039","5594","231","0","20707",""
"2023-03-27","2155450","160014","9008","4478","221","0","21009",""
"2023-04-03","2583767","145539","4055","5283","226","0","23114",""
"2023-04-10","2006084","238592","406","6089","245","0","18252",""
"2023-04-17","1972530","152519","5630","4821","238","0","18739",""
"2023-04-24","1733220","150093","13520","6369","253","0","20410",""
"2023-05-01","2250628","122575","940","4626","241","0","17440",""
"2023-05-08","2044104","171625","4046","5656","243","0","18166",""
"2023-05-15","2112778","179480","1513","4242","200","0","19741",""
"2023-05-22","2105115","179203","5513","5533","246","0","20007",""
"2023-05-29","2030692","142929","10207","4925","235","0","18952",""
"2023-06-05","2307155","168914","7800","4754","257","0","18971",""
"2023-06-12","2280066","204375","10919","5593","238","0","24606",""
"2023-06-19","2273174","46984","13151","5294","270","0","21686",""
"2023-06-26","2266477","218440","8663","5742","285","0","16723",""
"2023-07-03","2134942","273336","3226","6268","261","0","19968",""
"2023-07-10","2062851","249298","1012","5776","269","0","17852",""
"2023-07-17","2023362","204687","5537","5972","284","0","21222",""
"2023-07-24","2104327","181337","3586","6379","298","0","23398",""
"2023-07-31","2012870","210314","4063","8513","291","0","20185",""
"2023-08-07","2139964","202336","353","6648","283","0","20363",""
"2023-08-14","2115139","40963","1095","6443","265","0","19974",""
"2023-08-21","2145483","210156","4701","5902","286","0","22333",""
"2023-08-28","2011626","231198","3229","12242","262","0","20779",""
"2023-09-04","1944647","41442","1682","5692","265","0","21705",""
"2023-09-11","1976825","288008","1345","5547","261","0","21468",""
"2023-09-18","2357880","52102","1057","5724","223","0","23182",""
"2023-09-25","1930206","376589","1612","5535","219","0","22046",""
"2023-10-02","2448071","290950","2758","5262","237","0","25417",""
"2023-10-09","2318590","52607","7132","4968","338","0","25092",""
"2023-10-16","2366510","296379","3850","4810","321","0","25482",""
"2023-10-23","2309322","256863","939","5059","334","0","23312",""
"2023-10-30","2477449","51304","1396","6488","348","0","31000",""
"2023-11-06","2440417","295834","3149","6033","393","0","21881",""
"2023-11-13","2385817","46655","11232","8826","380","0","27795",""
"2023-11-20","1666891","317374","2457","5373","350","0","22856",""
"2023-11-27","3230903","262911","6236","5497","338","0","26768",""
"2023-12-04","2602935","170743","4771","5256","346","0","23855",""
"2023-12-11","2245528","229411","0","5174","337","0","24330",""
"2023-12-18","1365552","194560","0","4820","340","0","21125",""
"2023-12-25","2121926","71205","0","4366","356","0","20445",""
"2024-01-01","2810075","197922","250","5087","330","0","31351",""
"2024-01-08","1476534","47683","1750","5622","298","0","21743",""
"2024-01-15","2590650","305094","0","5094","305","0","22967",""
"2024-01-22","3166344","195790","3500","5477","1164","0","21782",""
"2024-01-29","1909044","188602","500","4536","1086","0","19888",""
"2024-02-05","2723271","197173","0","4255","352","0","15530",""
"2024-02-12","2535729","179080","1250","4346","379","0","32026",""
"2024-02-19","2116069","182734","770","4223","1142","0","20972",""
"2024-02-26","2044447","263923","27","4130","1774","0","23214",""
