"Date","Spotify followers total","Spotify followers new","Youtube subscribers total","Youtube subscribers new","Instagram followers total","Instagram followers new","Facebook followers total","Facebook followers new","Deezer fans total","Deezer fans new","X followers total","X followers new","Soundcloud followers total","Soundcloud followers new","Tiktok followers total","Tiktok followers new"
"2023-03-06","207568","321","158000","0","133330","339","143502","23","22126","34","2333","0","127163","104","",""
"2023-03-13","208328","744","158000","750","133682","352","143521","31","22191","59","2334","1","127360","172","",""
"2023-03-20","209076","773","159000","250","134280","598","143571","33","22243","57","2334","12","127465","168","",""
"2023-03-27","209990","859","159000","0","134758","414","143560","-5","22290","43","2356","10","127648","154","",""
"2023-04-03","210757","830","159000","125","135150","379","143578","15","22338","47","2361","5","127849","177","",""
"2023-04-10","211549","738","160000","875","135430","434","143576","5","22363","29","2361","0","127971","171","",""
"2023-04-17","212385","840","160000","0","135958","387","143580","-2","22407","38","2361","0","128145","149","",""
"2023-04-24","213159","814","160000","0","136217","406","143613","20","22439","38","2361","0","128405","246","",""
"2023-05-01","214105","917","160000","0","136668","368","143613","7","22482","39","2361","0","128488","146","",""
"2023-05-08","214842","756","160000","375","137248","580","143592","-10","22499","27","2361","0","128709","172","",""
"2023-05-15","215687","868","161000","625","138137","1017","143587","-1","22540","37","2361","0","128885","151","",""
"2023-05-22","216445","769","161000","250","138813","656","143581","-2","22572","29","2361","0","129026","183","",""
"2023-05-29","217259","773","162000","750","139202","545","143585","5","22611","35","2361","0","129174","131","",""
"2023-06-05","218137","863","162000","0","140206","740","143599","21","22655","47","2361","0","129371","173","",""
"2023-06-12","219075","956","162000","0","141551","973","143602","-6","22686","32","2361","0","129504","177","",""
"2023-06-19","219976","878","162000","750","141998","819","143698","100","22721","35","2361","0","129687","163","",""
"2023-06-26","220781","810","163000","964","142453","657","143713","14","22777","53","2361","0","129787","161","",""
"2023-07-03","221714","938","164000","286","143454","799","143720","8","22816","41","2361","0","130092","220","",""
"2023-07-10","222498","794","164000","500","143971","466","143714","0","22868","49","2361","0","130235","187","",""
"2023-07-17","223328","812","165000","500","144334","764","143725","11","22926","63","2361","0","130461","185","",""
"2023-07-24","224117","809","165000","125","145284","822","143736","8","22981","49","2361","0","130648","180","",""
"2023-07-31","225011","879","166000","875","146050","544","143718","-15","23027","49","2361","0","130841","195","",""
"2023-08-07","225874","870","166000","0","146472","422","143718","27","23072","46","2361","0","130934","145","",""
"2023-08-14","226781","903","166000","750","147083","430","143762","20","23124","52","2361","0","131108","148","",""
"2023-08-21","227692","922","167000","250","147083","582","143773","11","23177","48","2361","0","131331","204","",""
"2023-08-28","228621","928","167000","0","148495","1011","143766","-7","23236","59","2361","0","131456","168","",""
"2023-09-04","229384","749","167000","750","149012","455","143759","-10","23281","45","2361","0","131627","147","",""
"2023-09-11","230207","834","168000","250","149304","354","143752","-4","23337","58","2361","0","131830","175","",""
"2023-09-18","231116","900","168000","750","149910","883","143752","20","23379","49","2361","0","132036","201","",""
"2023-09-25","232086","955","169000","250","151405","1021","143779","8","23427","45","2361","0","132169","166","",""
"2023-10-02","233026","967","169000","0","151741","467","143779","0","23485","55","2361","0","132311","200","",""
"2023-10-09","233990","794","169000","750","151998","676","143787","9","23532","47","2361","0","132589","208","",""
"2023-10-16","234862","907","170000","250","153279","792","143808","19","23570","34","2361","0","132684","132","",""
"2023-10-23","235284","400","170000","0","153900","649","143808","20","23619","52","2361","0","132792","156","",""
"2023-10-30","236303","1032","170000","500","154823","936","143848","18","23665","43","2361","0","133118","250","",""
"2023-11-06","237270","983","171000","500","155122","394","143811","-23","23716","48","2361","0","133304","169","",""
"2023-11-13","238074","819","171000","625","155296","206","143792","-21","23768","58","2361","0","133464","173","",""
"2023-11-20","238943","835","172000","375","155854","440","143804","2","23854","73","2361","0","133641","156","",""
"2023-11-27","239915","984","172000","0","156355","587","143846","41","23911","67","2361","0","133774","161","",""
"2023-12-04","241201","1244","172000","250","156734","379","143836","-4","23974","63","2361","0","133896","144","",""
"2023-12-11","242337","1129","173000","750","156734","0","143858","26","24022","45","2361","0","134057","158","",""
"2023-12-18","243177","939","173000","0","156734","0","143859","0","24064","50","2361","0","134200","141","",""
"2023-12-25","243805","604","173000","750","156734","0","143852","-11","24105","32","2361","0","134317","149","",""
"2024-01-01","244623","780","174000","250","156734","301","143845","-3","24171","62","2361","0","134445","125","",""
"2024-01-08","245568","884","174000","0","159149","2114","143845","-5","24216","55","2361","0","134548","135","",""
"2024-01-15","246438","964","174000","500","159149","0","143823","-10","24258","42","2361","0","134758","171","",""
"2024-01-22","247197","751","175000","500","160263","974","143830","-8","24321","63","2361","0","134916","132","",""
"2024-01-29","247849","777","175000","0","160263","140","143808","-8","24372","49","2361","0","135059","139","",""
"2024-02-05","248714","799","175000","0","160263","0","143814","6","24426","56","2361","0","135136","83","",""
"2024-02-12","249146","404","175000","375","160263","479","143813","-4","24480","53","2361","0","135270","135","",""
"2024-02-19","249755","628","176000","625","161033","577","143802","-17","24532","53","2361","0","135463","147","",""
"2024-02-26","250599","766","176000","0","161614","295","143773","-17","24583","52","2361","0","135605","151","",""
