"Date","Spotify followers","Youtube subscribers","Instagram followers","Facebook followers","Deezer fans","X followers","Soundcloud followers","Tiktok followers"
"2023-03-06","321","0","339","23","34","0","104",""
"2023-03-13","744","750","352","31","59","1","172",""
"2023-03-20","773","250","598","33","57","12","168",""
"2023-03-27","859","0","414","-5","43","10","154",""
"2023-04-03","830","125","379","15","47","5","177",""
"2023-04-10","738","875","434","5","29","0","171",""
"2023-04-17","840","0","387","-2","38","0","149",""
"2023-04-24","814","0","406","20","38","0","246",""
"2023-05-01","917","0","368","7","39","0","146",""
"2023-05-08","756","375","580","-10","27","0","172",""
"2023-05-15","868","625","1017","-1","37","0","151",""
"2023-05-22","769","250","656","-2","29","0","183",""
"2023-05-29","773","750","545","5","35","0","131",""
"2023-06-05","863","0","740","21","47","0","173",""
"2023-06-12","956","0","973","-6","32","0","177",""
"2023-06-19","878","750","819","100","35","0","163",""
"2023-06-26","810","964","657","14","53","0","161",""
"2023-07-03","938","286","799","8","41","0","220",""
"2023-07-10","794","500","466","0","49","0","187",""
"2023-07-17","812","500","764","11","63","0","185",""
"2023-07-24","809","125","822","8","49","0","180",""
"2023-07-31","879","875","544","-15","49","0","195",""
"2023-08-07","870","0","422","27","46","0","145",""
"2023-08-14","903","750","430","20","52","0","148",""
"2023-08-21","922","250","582","11","48","0","204",""
"2023-08-28","928","0","1011","-7","59","0","168",""
"2023-09-04","749","750","455","-10","45","0","147",""
"2023-09-11","834","250","354","-4","58","0","175",""
"2023-09-18","900","750","883","20","49","0","201",""
"2023-09-25","955","250","1021","8","45","0","166",""
"2023-10-02","967","0","467","0","55","0","200",""
"2023-10-09","794","750","676","9","47","0","208",""
"2023-10-16","907","250","792","19","34","0","132",""
"2023-10-23","400","0","649","20","52","0","156",""
"2023-10-30","1032","500","936","18","43","0","250",""
"2023-11-06","983","500","394","-23","48","0","169",""
"2023-11-13","819","625","206","-21","58","0","173",""
"2023-11-20","835","375","440","2","73","0","156",""
"2023-11-27","984","0","587","41","67","0","161",""
"2023-12-04","1244","250","379","-4","63","0","144",""
"2023-12-11","1129","750","0","26","45","0","158",""
"2023-12-18","939","0","0","0","50","0","141",""
"2023-12-25","604","750","0","-11","32","0","149",""
"2024-01-01","780","250","301","-3","62","0","125",""
"2024-01-08","884","0","2114","-5","55","0","135",""
"2024-01-15","964","500","0","-10","42","0","171",""
"2024-01-22","751","500","974","-8","63","0","132",""
"2024-01-29","777","0","140","-8","49","0","139",""
"2024-02-05","799","0","0","6","56","0","83",""
"2024-02-12","404","375","479","-4","53","0","135",""
"2024-02-19","628","625","577","-17","53","0","147",""
"2024-02-26","766","0","295","-17","52","0","151",""
