"Track","Artists","Release date","Viberate Performance Points 1w","Viberate Performance Points 1m","Viberate Performance Points 3m","Viberate Performance Points 12m","Viberate Performance Points Total","Spotify Streams 1w","Spotify Streams 1m","Spotify Streams 3m","Spotify Streams 12m","Spotify Streams Total","YouTube Views 1w","YouTube Views 1m","YouTube Views 3m","YouTube Views 12m","YouTube Views Total","Airplay Spins 1w","Airplay Spins 1m","Airplay Spins 3m","Airplay Spins 12m","Shazam Shazams 1w","Shazam Shazams 1m","Shazam Shazams 3m","Shazam Shazams 12m","Shazam Shazams Total","Soundcloud Plays 1w","Soundcloud Plays 1m","Soundcloud Plays 3m","Soundcloud Plays 12m","Soundcloud Plays Total"
"Riding Waves","Mattia Saviolo","2022-12-16","514","2716","6165.700000000001","35843.6","35843.6","474","2540","6133","46762","52710","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","5","22","52","273","329","N/A","N/A","N/A","N/A","N/A"
"Distant Memories","Mattia Saviolo","2023-10-27","1305","6860","22918.7","26999","26999","1225","6524","23063","28396","30607","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","10","42","205","267","279","N/A","N/A","N/A","N/A","N/A"
"Trust Me - Mattia Saviolo Remix","Frankyeffe, Mattia Saviolo","2023-05-05","187","1060","3096.7","12341.599999999999","12341.599999999999","187","1060","3323","16450","18449","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","0","0","10","21","N/A","N/A","N/A","N/A","N/A"
"Memento","Mattia Saviolo","2021-06-04","83","406","1046.8000000000002","11114.900000000001","11114.900000000001","67","390","1062","1133","26048","N/A","N/A","N/A","N/A","N/A","0","0","0","35","2","2","7","46","779","N/A","N/A","N/A","N/A","N/A"
"Astel","Mattia Saviolo","2022-09-23","137","573","1674.6000000000001","9782","9782","89","413","1269","8323","25651","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","6","20","66","632","1102","N/A","N/A","N/A","N/A","N/A"
"Sentinella Meccanica","Mattia Saviolo","2022-02-04","143","676","1956.7000000000003","5726.900000000001","5726.900000000001","135","644","2051","7037","73808","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","4","6","56","337","N/A","N/A","N/A","N/A","N/A"
"Multinode Universe","Mattia Saviolo","2019-08-26","47","212","532.4","2887.9","2887.9","39","196","544","3637","52514","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1","2","3","37","1566","N/A","N/A","N/A","N/A","N/A"
"Blighttown","Mattia Saviolo","2022-09-23","27","184","357.7","2104.8999999999996","2104.8999999999996","27","136","289","2041","8703","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","6","11","104","227","N/A","N/A","N/A","N/A","N/A"
"Feralgo","Mattia Saviolo","2018-04-02","35","163","427.6","1672.8999999999996","1672.8999999999996","35","163","457","2236","36176","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Lifelink - Original Mix","Mattia Saviolo","2020-07-03","119","478","1135.9","1658.8","1658.8","103","462","1161","1524","47608","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2","2","6","54","1081","N/A","N/A","N/A","N/A","N/A"
"Half Measure - Mattia Saviolo Remix","Nico Cabeza, Mattia Saviolo","2019-10-04","13","68","154.4","1252.0000000000002","1252.0000000000002","13","68","164","1732","19329","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Until the End - Original Mix","Mattia Saviolo","2020-07-17","69","367","911.5","1135.5","1135.5","69","367","972","1292","58740","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Kozilek - Original Mix","Mattia Saviolo","2019-05-04","24","83","192.8","1072.6999999999998","1072.6999999999998","24","83","205","1462","8669","0","0","0","0","25","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
