"Country","Viberate overall audience (%)","Spotify monthly listeners","Spotify monthly listeners (%)","Spotify monthly listeners growth","Youtube monthly views","Youtube monthly views (%)","Youtube monthly views growth","Youtube subscribers","Youtube subscribers (%)","Instagram followers","Instagram followers (%)","Tiktok followers","Tiktok followers (%)"
"United States","20.15%","128889","14.60%","N/A","291212","21.64%","N/A","53348","17.86%","101849","32.62%","N/A","N/A"
"Germany","10.91%","149779","16.96%","N/A","100393","7.46%","N/A","29637","9.92%","19840","6.35%","N/A","N/A"
"Brazil","5.01%","20351","2.30%","N/A","43890","3.26%","N/A","18968","6.35%","31144","9.97%","N/A","N/A"
"Australia","4.85%","96094","10.88%","N/A","39042","2.90%","N/A","3951","1.32%","8778","2.81%","N/A","N/A"
"Canada","4.49%","47753","5.41%","N/A","64630","4.80%","N/A","9879","3.31%","13347","4.27%","N/A","N/A"
"Mexico","4.18%","34396","3.90%","N/A","39927","2.97%","N/A","13435","4.50%","18037","5.78%","N/A","N/A"
"United Kingdom","3.81%","27893","3.16%","N/A","54776","4.07%","N/A","12250","4.10%","12505","4.00%","N/A","N/A"
"Russian Federation","3.71%","0","0","N/A","58115","4.32%","N/A","22524","7.54%","9138","2.93%","N/A","N/A"
"Poland","3.60%","16841","1.91%","N/A","66176","4.92%","N/A","16597","5.56%","4148","1.33%","N/A","N/A"
"Netherlands","3.34%","52244","5.92%","N/A","19723","1.47%","N/A","7903","2.65%","7034","2.25%","N/A","N/A"
"South Africa","3.34%","25958","2.94%","N/A","63030","4.68%","N/A","7508","2.51%","11363","3.64%","N/A","N/A"
"Ukraine","3.24%","N/A","N/A","N/A","109545","8.14%","N/A","12645","4.23%","N/A","N/A","N/A","N/A"
"Spain","2.97%","24608","2.79%","N/A","19076","1.42%","N/A","11459","3.84%","13708","4.39%","N/A","N/A"
"France","2.92%","20056","2.27%","N/A","57580","4.28%","N/A","7508","2.51%","9018","2.89%","N/A","N/A"
"Argentina","2.77%","17682","2.00%","N/A","54201","4.03%","N/A","7903","2.65%","7455","2.39%","N/A","N/A"
"Switzerland","2.14%","24331","2.76%","N/A","22070","1.64%","N/A","6322","2.12%","4990","1.60%","N/A","N/A"
"Colombia","1.93%","26545","3.01%","N/A","10867","0.81%","N/A","5137","1.72%","4990","1.60%","N/A","N/A"
"Italy","1.88%","12974","1.47%","N/A","15508","1.15%","N/A","4347","1.46%","14490","4.64%","N/A","N/A"
"Czech Republic","1.67%","14200","1.61%","N/A","18699","1.39%","N/A","6717","2.25%","4148","1.33%","N/A","N/A"
"Hungary","1.57%","14778","1.67%","N/A","29889","2.22%","N/A","5532","1.85%","N/A","N/A","N/A","N/A"
"India","1.57%","N/A","N/A","N/A","36562","2.72%","N/A","4741","1.59%","8236","2.64%","N/A","N/A"
"Chile","1.41%","19661","2.23%","N/A","8854","0.66%","N/A","3951","1.32%","4148","1.33%","N/A","N/A"
"Romania","1.25%","N/A","N/A","N/A","24452","1.82%","N/A","8693","2.91%","N/A","N/A","N/A","N/A"
"Belgium","1.20%","19633","2.22%","N/A","8827","0.66%","N/A","3951","1.32%","N/A","N/A","N/A","N/A"
"Austria","0.78%","17638","2.00%","N/A","7886","0.59%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Turkey","0.78%","10527","1.19%","N/A","N/A","N/A","N/A","4347","1.46%","N/A","N/A","N/A","N/A"
"Norway","0.63%","15845","1.79%","N/A","3070","0.23%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Greece","0.57%","0","0","N/A","3310","0.25%","N/A","5532","1.85%","N/A","N/A","N/A","N/A"
"Sweden","0.52%","14059","1.59%","N/A","3113","0.23%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Ireland","0.42%","10341","1.17%","N/A","3013","0.22%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"New Zealand","0.42%","9838","1.11%","N/A","1788","0.13%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Peru","0.42%","N/A","N/A","N/A","1558","0.12%","N/A","3951","1.32%","N/A","N/A","N/A","N/A"
"Finland","0.37%","10001","1.13%","N/A","1139","0.08%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Indonesia","0.21%","N/A","N/A","N/A","1353","0.10%","N/A","N/A","N/A","3907","1.25%","N/A","N/A"
"Lithuania","0.16%","N/A","N/A","N/A","7473","0.56%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Japan","0.10%","N/A","N/A","N/A","5971","0.44%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Israel","0.10%","N/A","N/A","N/A","5570","0.41%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Slovakia","0.10%","N/A","N/A","N/A","5570","0.41%","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
