"Date","Spotify followers","Youtube subscribers","Instagram followers","Facebook followers","Deezer fans","X followers","Soundcloud followers","Tiktok followers"
"2023-03-06","387","1200","771","352","64","23","153",""
"2023-03-13","1045","1400","917","92","108","23","286",""
"2023-03-20","1117","1400","986","171","111","23","269",""
"2023-03-27","1057","1165","874","224","100","-12","270",""
"2023-04-03","859","1120","565","278","76","-8","263",""
"2023-04-10","808","1000","660","138","70","11","259",""
"2023-04-17","846","965","888","125","75","0","248",""
"2023-04-24","1096","750","1316","129","81","0","344",""
"2023-05-01","1015","875","1203","422","85","0","296",""
"2023-05-08","947","875","683","66","92","0","396",""
"2023-05-15","839","750","890","348","67","0","378",""
"2023-05-22","968","875","1343","60","88","0","399",""
"2023-05-29","1045","910","774","29","101","0","372",""
"2023-06-05","988","840","1439","528","93","0","389",""
"2023-06-12","1062","875","1021","168","78","0","367",""
"2023-06-19","1081","1142","1458","281","83","0","381",""
"2023-06-26","939","1000","1052","14","87","0","326",""
"2023-07-03","990","1023","1156","75","82","0","318",""
"2023-07-10","1074","1167","945","96","101","0","312",""
"2023-07-17","1086","918","869","74","83","0","286",""
"2023-07-24","1170","750","711","94","107","0","327",""
"2023-07-31","1060","750","860","68","77","0","239",""
"2023-08-07","1041","875","1331","47","114","0","274",""
"2023-08-14","1233","1625","1227","29","93","0","295",""
"2023-08-21","1178","750","1571","34","92","0","270",""
"2023-08-28","970","500","1133","32","118","0","270",""
"2023-09-04","936","750","1093","14","117","0","236",""
"2023-09-11","1012","750","1371","45","104","0","244",""
"2023-09-18","1022","750","898","39","111","0","231",""
"2023-09-25","1100","625","1343","73","115","0","236",""
"2023-10-02","955","750","1019","27","87","0","232",""
"2023-10-09","800","875","1012","0","92","0","196",""
"2023-10-16","884","875","806","0","83","0","208",""
"2023-10-23","271","625","673","174","104","0","266",""
"2023-10-30","982","875","825","550","123","0","247",""
"2023-11-06","934","875","651","44","132","0","269",""
"2023-11-13","1042","750","832","39","126","0","255",""
"2023-11-20","1012","875","674","38","144","0","223",""
"2023-11-27","907","875","515","81","110","0","241",""
"2023-12-04","1453","1083","497","130","113","0","265",""
"2023-12-11","1143","417","-32","89","92","0","222",""
"2023-12-18","1003","915","1077","109","107","0","185",""
"2023-12-25","477","1085","154","97","85","0","187",""
"2024-01-01","636","750","0","90","81","0","219",""
"2024-01-08","1019","500","937","0","83","0","251",""
"2024-01-15","936","999","2820","0","94","0","228",""
"2024-01-22","835","501","279","77","88","0","215",""
"2024-01-29","902","750","668","114","97","0","204",""
"2024-02-05","1032","1250","412","119","112","0","211",""
"2024-02-12","557","1000","0","38","94","0","245",""
"2024-02-19","641","750","0","0","116","0","247",""
"2024-02-26","898","750","0","626","102","0","259",""
