"Date","Followers","Monthly listeners","Monthly streams","Listeners/followers","Streams/listeners"
"2021-02-28","N/A","N/A","1023788","N/A","N/A"
"2021-03-07","245236","2558431","1032605","10.43","0.40"
"2021-03-14","246282","2539773","1047980","10.31","0.41"
"2021-03-21","247269","2511970","1027275","10.16","0.41"
"2021-03-28","248210","2505340","1020819","10.09","0.41"
"2021-04-04","249203","2538556","1040469","10.19","0.41"
"2021-04-11","250491","2551183","1031616","10.18","0.40"
"2021-04-18","252378","2624959","1051661","10.40","0.40"
"2021-04-25","254291","2737852","1038673","10.77","0.38"
"2021-05-02","255915","2793008","1177275","10.91","0.42"
"2021-05-09","257382","2828036","1116721","10.99","0.39"
"2021-05-16","258589","2844092","1145237","11.00","0.40"
"2021-05-23","259710","2786500","1075438","10.73","0.39"
"2021-05-30","260912","2751816","1512491","10.55","0.55"
"2021-06-06","262264","2847457","1300276","10.86","0.46"
"2021-06-13","263685","2938037","1281381","11.14","0.44"
"2021-06-20","264928","3013161","1371461","11.37","0.46"
"2021-06-27","266080","3052696","1511033","11.47","0.49"
"2021-07-04","267868","2995731","1261419","11.18","0.42"
"2021-07-11","269910","2932827","1302926","10.87","0.44"
"2021-07-18","271470","2893552","1281632","10.66","0.44"
"2021-07-25","272752","2927349","1305180","10.73","0.45"
"2021-08-01","274539","2952270","1201215","10.75","0.41"
"2021-08-08","275737","2922322","1469880","10.60","0.50"
"2021-08-15","277458","2891233","1219462","10.42","0.42"
"2021-08-22","279054","2786400","1160326","9.99","0.42"
"2021-08-29","280375","2690724","1098432","9.60","0.41"
"2021-09-05","281334","2665495","1064027","9.47","0.40"
"2021-09-12","283479","2679102","1035896","9.45","0.39"
"2021-09-19","284766","2816895","1124830","9.89","0.40"
"2021-09-26","286421","2976395","1432693","10.39","0.48"
"2021-10-03","287436","3019161","656021","10.50","0.22"
"2021-10-10","288606","3019036","1585656","10.46","0.53"
"2021-10-17","289823","2893836","993150","9.98","0.34"
"2021-10-24","290834","2714416","943771","9.33","0.35"
"2021-10-31","291822","2618039","956622","8.97","0.37"
"2021-11-07","292931","2535196","903295","8.65","0.36"
"2021-11-14","293931","2514431","888896","8.55","0.35"
"2021-11-21","295017","2503630","868607","8.49","0.35"
"2021-11-28","296004","2480532","801906","8.38","0.32"
"2021-12-05","297471","2467386","780080","8.29","0.32"
