"Date","Streams"
"2023-04-02","2660778"
"2023-04-09","2314233"
"2023-04-16","2285372"
"2023-04-23","2451799"
"2023-04-30","2973087"
"2023-05-07","2647868"
"2023-05-14","2675455"
"2023-05-21","2718940"
"2023-05-28","2913697"
"2023-06-04","2790973"
"2023-06-11","2907158"
"2023-06-18","2796059"
"2023-06-25","2668682"
"2023-07-02","2775990"
"2023-07-09","2877575"
"2023-07-16","2804755"
"2023-07-23","2762543"
"2023-07-30","2671470"
"2023-08-06","2895732"
"2023-08-13","2912026"
"2023-08-20","2949416"
"2023-08-27","2787930"
"2023-09-03","2689266"
"2023-09-10","2806144"
"2023-09-17","3070175"
"2023-09-24","2463328"
"2023-10-01","2633474"
"2023-10-08","2590331"
"2023-10-15","2541167"
"2023-10-22","2510357"
"2023-10-29","2687472"
"2023-11-05","2521449"
"2023-11-12","2744600"
"2023-11-19","1836331"
"2023-11-26","3257975"
"2023-12-03","2390714"
"2023-12-10","2194123"
"2023-12-17","1989727"
"2023-12-24","2348687"
"2023-12-31","1879702"
"2024-01-07","1110537"
"2024-01-14","2796349"
"2024-01-21","3417760"
"2024-01-28","2227608"
"2024-02-04","2414742"
"2024-02-11","2610187"
"2024-02-18","2259151"
"2024-02-25","2260010"
