"Track","Artists","Alltime streams","Streams 1y","Streams 1m","Streams 1w","Release date"
"Come With Me - Radio Edit","Nora En Pure","101912263","15431655","994389","251503","2013-01-01"
"Spring Embers","Nora En Pure","10375115","10135009","874466","219120","2023-04-14"
"Who You Are","Nora En Pure","3622377","3414600","577170","138554","2023-09-15"
"Indulgence","Nora En Pure","5357237","5252315","429327","100402","2023-03-10"
"Sherwood Forest","Nora En Pure","3042340","2918732","332293","85212","2023-06-30"
"Do No More","Nora En Pure","2792158","2678738","317379","84035","2023-07-28"
"Birthright","Nora En Pure","29472597","5544050","393138","78260","2019-05-24"
"I Love You Always Forever (Nora's Version)","Donna Lewis, Nora En Pure","4375149","3948560","271216","63269","2023-06-16"
"Wholehearted","Nora En Pure","2239955","2143536","199856","50495","2023-05-19"
"Tears In Your Eyes","Nora En Pure","41240554","3145749","173909","40729","2017-06-19"
"Aquatic","Nora En Pure","10548901","2854859","168327","39734","2021-06-04"
"Freyja","Nora En Pure","349388","257636","257636","38517","2024-01-26"
"Morning Dew - Radio Mix","Nora En Pure","17399523","2340640","153757","38099","2015-01-01"
"Morning Dew - Radio Mix","Nora En Pure","17399523","2340640","153757","38099","2016-02-19"
"Fibonacci","Nora En Pure","17320021","2525451","192041","37004","2019-11-08"
"Life on Hold","Nora En Pure","15905855","5238071","160410","36849","2021-09-03"
"In Your Eyes","Nora En Pure","19155402","3084217","180303","34236","2020-08-21"
"Reminiscing","Nora En Pure","5461846","2299504","138656","32428","2022-01-28"
"Illusions","Nora En Pure","820569","729194","125978","31438","2023-11-03"
"In The Air Tonight - Croatia Squad Remix","Nora En Pure, Lika Morgan, Croatia Squad","12954140","1593891","130096","29490","2020-05-01"
"Wetlands","Nora En Pure","6774299","1987470","111426","27617","2020-09-25"
"Come With Me - Original Mix","Nora En Pure","19837648","1351175","95971","23763","2012-01-01"
"Enchantment","Nora En Pure","11254291","1498590","85418","21432","2020-12-04"
"Queen of Ice - Nora En Pure Remix","Claptone, Dizzy, Nora En Pure","6501678","1577676","85136","20529","2022-01-07"
"Strangers (with Mansionair) - Nora En Pure Remix","Dom Dolla, Mansionair, Nora En Pure","4305011","1736965","98807","19698","2022-03-11"
"Oblivion","Nora En Pure","7827713","1653398","81561","19370","2021-04-16"
"Saltwater - 2015 Radio Rework","Nora En Pure","22779517","1371343","80927","19310","2015-07-20"
