"Date","Viberate performance points","Viberate rank"
"2023-02-27","15887","N/A"
"2023-02-28","15870","54824"
"2023-03-01","15763","55113"
"2023-03-02","15708","55506"
"2023-03-03","15610","55696"
"2023-03-04","15436","56055"
"2023-03-05","15414","56108"
"2023-03-06","15394","56176"
"2023-03-07","15291","56268"
"2023-03-08","15270","56367"
"2023-03-09","15066","56756"
"2023-03-10","15058","56815"
"2023-03-11","15073","56768"
"2023-03-12","15005","56940"
"2023-03-13","15004","56931"
"2023-03-14","14908","57108"
"2023-03-15","14840","57234"
"2023-03-16","14827","57294"
"2023-03-17","14798","57387"
"2023-03-18","14695","57750"
"2023-03-19","14666","57779"
"2023-03-20","14685","57814"
"2023-03-21","14632","57864"
"2023-03-22","14629","58055"
"2023-03-23","14633","58035"
"2023-03-24","14629","58021"
"2023-03-25","14610","58097"
"2023-03-26","14557","58205"
"2023-03-27","14558","58305"
"2023-03-28","14465","58157"
"2023-03-29","14470","58166"
"2023-03-30","14496","58114"
"2023-03-31","14502","58094"
"2023-04-01","14355","58462"
"2023-04-02","14356","58441"
"2023-04-03","14346","58676"
"2023-04-04","14261","58731"
"2023-04-05","14317","58661"
"2023-04-06","14327","58637"
"2023-04-07","14222","58863"
"2023-04-08","14191","58887"
"2023-04-09","14223","58911"
"2023-04-10","14249","58904"
"2023-04-11","14182","59058"
"2023-04-12","14211","59498"
"2023-04-13","14138","60284"
"2023-04-14","14124","60563"
"2023-04-15","14110","60549"
"2023-04-16","14135","60507"
"2023-04-17","14143","60521"
"2023-04-18","14163","60391"
"2023-04-19","14165","60354"
"2023-04-20","14159","60440"
"2023-04-21","14107","60563"
"2023-04-22","14034","60893"
"2023-04-23","14040","60847"
"2023-04-24","14046","60830"
"2023-04-25","14035","60892"
"2023-04-26","13952","61141"
"2023-04-27","13909","61187"
"2023-04-28","13901","61256"
"2023-04-29","13834","61165"
"2023-04-30","13836","61180"
"2023-05-01","13830","61135"
"2023-05-02","13759","61195"
"2023-05-03","13770","61100"
"2023-05-04","14608","59476"
"2023-05-05","14647","59562"
"2023-05-06","14402","59793"
"2023-05-07","14409","59761"
"2023-05-08","14317","60049"
"2023-05-09","14323","60022"
"2023-05-10","14331","59976"
"2023-05-11","14317","60043"
"2023-05-12","14323","60008"
"2023-05-13","14316","60042"
"2023-05-14","14178","60298"
"2023-05-15","14190","60286"
"2023-05-16","14379","59972"
"2023-05-17","14394","59989"
"2023-05-18","14385","59942"
"2023-05-19","14477","59682"
"2023-05-20","14511","59622"
"2023-05-21","14520","59528"
"2023-05-22","14530","59533"
"2023-05-23","14497","59633"
"2023-05-24","14493","59372"
"2023-05-25","14465","58758"
"2023-05-26","14531","58304"
"2023-05-27","14594","58213"
"2023-05-28","14668","57991"
"2023-05-29","14665","57795"
"2023-05-30","14667","57883"
"2023-05-31","14705","57820"
"2023-06-01","14674","57902"
"2023-06-02","14495","58262"
"2023-06-03","14533","58227"
"2023-06-04","16053","55325"
"2023-06-05","16070","55198"
"2023-06-06","16183","54951"
"2023-06-07","16187","54911"
"2023-06-08","16181","54911"
"2023-06-09","16145","55186"
"2023-06-10","16097","55275"
"2023-06-11","16100","56025"
"2023-06-12","16098","56039"
"2023-06-13","16093","56105"
"2023-06-14","16099","56120"
"2023-06-15","15929","56309"
"2023-06-16","15996","56188"
"2023-06-17","15998","56133"
"2023-06-18","16009","56178"
"2023-06-19","16142","55997"
"2023-06-20","16191","56005"
"2023-06-21","16194","56011"
"2023-06-22","16204","56022"
"2023-06-23","16183","56014"
"2023-06-24","16180","56109"
"2023-06-25","16407","55793"
"2023-06-26","16519","55648"
"2023-06-27","16502","55686"
"2023-06-28","16615","55472"
"2023-06-29","16614","55550"
"2023-06-30","16749","55326"
"2023-07-01","16753","55369"
"2023-07-02","16754","55410"
"2023-07-03","16864","55302"
"2023-07-04","18275","53100"
"2023-07-05","18267","53131"
"2023-07-06","18385","53012"
"2023-07-07","18657","52791"
"2023-07-08","18585","52943"
"2023-07-09","18574","52983"
"2023-07-10","18629","52921"
"2023-07-11","18603","53076"
"2023-07-12","18614","53105"
"2023-07-13","18537","52611"
"2023-07-14","18500","52787"
"2023-07-15","18497","52838"
"2023-07-16","18498","52855"
"2023-07-17","18491","52900"
"2023-07-18","18621","52806"
"2023-07-19","18621","52884"
"2023-07-20","18620","52940"
"2023-07-21","18637","52995"
"2023-07-22","18757","52798"
"2023-07-23","18785","52806"
"2023-07-24","18790","52806"
"2023-07-25","18962","52682"
"2023-07-26","18965","52746"
"2023-07-27","18991","52723"
"2023-07-28","18996","52784"
"2023-07-29","18999","52864"
"2023-07-30","19078","52811"
"2023-07-31","19088","52846"
"2023-08-01","19049","52935"
"2023-08-02","19083","52901"
"2023-08-03","19042","53016"
"2023-08-04","19402","52630"
"2023-08-05","19411","52666"
"2023-08-06","19399","52665"
"2023-08-07","19403","52715"
"2023-08-08","19352","52836"
"2023-08-09","19389","52773"
"2023-08-10","19341","52810"
"2023-08-11","19351","52851"
"2023-08-12","19349","52835"
"2023-08-13","19352","52818"
"2023-08-14","19356","52846"
"2023-08-15","19343","52991"
"2023-08-16","19339","53011"
"2023-08-17","19382","52958"
"2023-08-18","19333","53049"
"2023-08-19","19325","53088"
"2023-08-20","19351","53097"
"2023-08-21","19353","53080"
"2023-08-22","19332","53096"
"2023-08-23","19288","53187"
"2023-08-24","19217","53381"
"2023-08-25","19183","53510"
"2023-08-26","19173","53593"
"2023-08-27","19170","53550"
"2023-08-28","19168","53632"
"2023-08-29","19140","53700"
"2023-08-30","19131","53751"
"2023-08-31","19133","53787"
"2023-09-01","19114","53784"
"2023-09-02","19137","53804"
"2023-09-03","19143","53828"
"2023-09-04","19430","53488"
"2023-09-05","19403","53595"
"2023-09-06","19456","53515"
"2023-09-07","19434","53817"
"2023-09-08","19405","53930"
"2023-09-09","19403","53924"
"2023-09-10","19410","54026"
"2023-09-11","19402","54050"
"2023-09-12","19392","53985"
"2023-09-13","19396","54047"
"2023-09-14","19386","54174"
"2023-09-15","19286","53803"
"2023-09-16","19396","54021"
"2023-09-17","19391","54034"
"2023-09-18","19334","54063"
"2023-09-19","19339","54064"
"2023-09-20","19349","54139"
"2023-09-21","19357","54312"
"2023-09-22","19366","54421"
"2023-09-23","19341","54391"
"2023-09-24","19342","54411"
"2023-09-25","19348","54517"
"2023-09-26","19277","54628"
"2023-09-27","19168","54425"
"2023-09-28","19120","54564"
"2023-09-29","19106","54538"
"2023-09-30","19176","54491"
"2023-10-01","19182","54523"
"2023-10-02","19140","54642"
"2023-10-03","19166","54559"
"2023-10-04","19001","54777"
"2023-10-05","18988","54919"
"2023-10-06","18987","54885"
"2023-10-07","19054","54854"
"2023-10-08","19064","54881"
"2023-10-09","19029","54868"
"2023-10-10","19080","52835"
"2023-10-11","19159","53277"
"2023-10-12","19202","53212"
"2023-10-13","19175","53358"
"2023-10-14","19183","53395"
"2023-10-15","19194","53281"
"2023-10-16","19222","53306"
"2023-10-17","19076","53262"
"2023-10-18","18887","55378"
"2023-10-19","18892","55412"
"2023-10-20","18894","55427"
"2023-10-21","18908","55384"
"2023-10-22","18930","55304"
"2023-10-23","18886","55410"
"2023-10-24","18794","55526"
"2023-10-25","18801","55542"
"2023-10-26","18785","55326"
"2023-10-27","18773","55309"
