"Date","Spotify followers","Youtube subscribers","Instagram followers","Facebook followers","Deezer fans","X followers","Soundcloud followers","Tiktok followers"
"2023-03-06","3","","-3","-2","0","0","16","2"
"2023-03-13","17","","-14","0","0","-1","23","6"
"2023-03-20","16","","-11","-3","0","0","29","6"
"2023-03-27","27","","-37","-3","0","-4","23","6"
"2023-04-03","15","","-14","0","0","-6","22","4"
"2023-04-10","21","","-4","-2","1","-4","22","4"
"2023-04-17","20","","-40","-5","2","-4","17","5"
"2023-04-24","10","","-19","1","1","0","16","11"
"2023-05-01","14","","-26","0","0","0","9","5"
"2023-05-08","15","","-21","-3","0","0","18","4"
"2023-05-15","15","","-31","-5","0","0","18","10"
"2023-05-22","15","","-13","-5","1","0","27","2"
"2023-05-29","15","","-24","1","0","0","25","1"
"2023-06-05","11","","-3","3","0","0","17","3"
"2023-06-12","21","","-4","0","0","0","8","2"
"2023-06-19","17","","-12","-4","0","0","19","1"
"2023-06-26","12","","-18","14","0","0","24","1"
"2023-07-03","17","","-13","0","0","0","23","3"
"2023-07-10","17","","-16","0","0","0","18","7"
"2023-07-17","18","","-33","0","0","0","20","5"
"2023-07-24","11","","-30","-6","0","0","11","3"
"2023-07-31","24","","-14","-3","2","0","16","5"
"2023-08-07","17","","-5","0","0","0","21","4"
"2023-08-14","27","","-28","0","1","0","19","0"
"2023-08-21","18","","-25","0","0","0","18","0"
"2023-08-28","13","","-20","-4","0","0","8","3"
"2023-09-04","2","","-22","0","1","0","6","2"
"2023-09-11","25","","-17","-1","0","0","22","4"
"2023-09-18","21","","-25","-7","0","0","20","5"
"2023-09-25","14","","-8","0","0","0","15","4"
"2023-10-02","15","","-14","-5","0","0","16","6"
"2023-10-09","13","","-17","-4","0","0","18","6"
"2023-10-16","45","","-13","0","0","0","15","0"
"2023-10-23","25","","5","-4","1","0","10","0"
"2023-10-30","33","","-5","3","0","0","7","2"
"2023-11-06","43","","-23","2","0","0","17","0"
"2023-11-13","17","","-17","-9","0","0","14","7"
"2023-11-20","-32","","-31","-2","0","0","13","1"
"2023-11-27","20","","-22","-6","0","0","12","0"
"2023-12-04","-3","","45","-5","0","0","23","0"
"2023-12-11","27","","-3","0","0","0","21","0"
"2023-12-18","42","","-5","0","1","0","20","0"
"2023-12-25","24","","0","3","0","0","80","0"
"2024-01-01","18","","0","7","0","0","82","0"
"2024-01-08","57","","0","3","0","0","48","4"
"2024-01-15","98","","0","1","0","0","43","18"
"2024-01-22","38","","0","0","0","0","42","1"
"2024-01-29","34","","162","-2","0","0","39","1"
"2024-02-05","48","","54","0","0","0","28","0"
"2024-02-12","12","","0","-2","0","0","32","6"
"2024-02-19","16","","0","0","1","0","38","2"
"2024-02-26","26","","0","0","0","0","36","0"
