"Channel","Track","Artists","Release date","Engagement 1w","Engagement 1m","Engagement Total"
"Shazam","Cars - Veerus & Maxie Divine","Veerus","2013-10-28","N/A","N/A","15203"
"Shazam","The Sound - Veerus & Maxie Devine","Maxie Devine, Veerus","2013-12-16","29","80","25282"
"Shazam","My Beat - Veerus & Maxie Devine","Maxie Devine, Veerus","2014-02-10","81","412","116351"
"Shazam","Laserdisco","Maxie Devine, Veerus","2014-09-23","6","N/A","N/A"
"Shazam","The Peacemaker - Veerus & Maxie Devine","Maxie Devine, Veerus, Veerus & Maxie Devine","2014-12-23","6","25","13151"
"Shazam","My Train - Veerus & Maxie Devine","Maxie Devine, Veerus","2015-03-02","51","180","82890"
"Shazam","Arp - Veerus","Veerus","2017-06-08","N/A","N/A","6188"
"Shazam","Heavy - Veerus","Veerus","2018-08-20","13","51","20601"
"Shazam","Wheel (Original Mix) - Veerus","Veerus","2018-09-21","N/A","N/A","8914"
"Shazam","Phase - Veerus","Veerus","2019-01-18","831","3362","195765"
"Shazam","Hypnosis - Veerus","Veerus","2019-04-15","N/A","N/A","6784"
"Shazam","Prophecy - Veerus","Veerus","2019-09-23","N/A","29","N/A"
"Shazam","System - Veerus","Veerus","2020-05-29","7","N/A","N/A"
"Shazam","Yard","Veerus","2022-02-04","N/A","27","N/A"
"Shazam","It's Funky","Veerus","2023-12-15","23","159","N/A"
"Shazam","Cycle","Veerus","2023-12-15","498","498","N/A"
"Airplay","Holly T Ft. Martial Simon - Can't Stop, Won't Stop (The Scene Kings Remix)","Veerus","","19","86","N/A"
"Airplay","Veerus - Phase (Original Mix)","Veerus","2021-08-25","13","120","N/A"
"Airplay","Veerus - Ehm (Original Mix)","Veerus","2021-08-25","12","112","N/A"
"Airplay","AutoDJ: Veerus - System (Original Mix)","Veerus","2021-08-25","7","54","N/A"
"Airplay","Veerus - Dysfunction - Drumcode - DC237","Veerus","2021-05-04","2","14","N/A"
"Airplay","Veerus - Cycle","Veerus","","1","46","N/A"
"Airplay","Veerus - Organum","Veerus","2021-08-25","1","8","N/A"
"Airplay","VEERUS - Bentley","Veerus","2023-03-22","1","N/A","N/A"
"Airplay","Veerus - Yard","Veerus","2023-03-22","1","N/A","N/A"
"Airplay","Veerus - Recovery (Original Mix)","Veerus","2021-05-04","1","41","N/A"
"Airplay","Recovery - VEERUS","Veerus","2021-05-04","N/A","11","N/A"
"Airplay","Veerus - Bypass","Veerus","2023-03-22","N/A","9","N/A"
"Spotify","Cycle","Veerus","2023-12-15","19397","97436","262468"
"Spotify","My Train","Veerus, Maxie Devine","2015-03-02","3868","19287","1780242"
"Spotify","The Sound","Veerus, Maxie Devine","2013-12-16","1831","7719","1472755"
"Spotify","Phoney","Veerus","2023-09-29","1497","4314","N/A"
"Spotify","It's Funky","Veerus","2023-12-15","1491","6425","N/A"
"Spotify","Heavy","Veerus","2018-08-20","1152","6229","768025"
"Spotify","Phase","Veerus","2018-12-07","825","3785","376767"
"Spotify","Yard","Veerus","2022-02-04","634","2606","187594"
"Spotify","Nobody","Veerus","2022-02-04","550","1731","N/A"
"Spotify","Organum - Original Mix","Veerus","2017-06-08","519","2103","N/A"
"Spotify","Hypnosis","Veerus","2019-04-01","N/A","N/A","419588"
"Spotify","Hypnosis","Veerus","2019-07-12","N/A","N/A","419588"
"Spotify","Recovery","Veerus","2021-02-08","N/A","N/A","306403"
"Spotify","System","Veerus","2020-05-11","N/A","N/A","241456"
"Youtube","Veerus & Maxie Devine - My Beat (Original Mix) [Suara]","Veerus","2013-12-16","7779","28391","13907962"
"Youtube","Veerus & Maxie Devine - Loop Ya (Original Mix) [Suara]","Veerus","2013-10-31","177","587","88607"
"Youtube","Veerus & Maxie Devine - The Sound (Original Mix) [Suara]","Veerus","2013-11-07","145","478","291312"
"Youtube","Veerus, Maxie Devine - My Train (Original Mix)","Veerus","2015-03-05","114","570","351357"
"Youtube","Veerus - Phase (Original Mix) [Terminal M]","Veerus","2019-02-06","86","367","N/A"
"Youtube","Veerus — Prophecy — A-Sides Vol. 8 — Drumcode — DC211","Veerus","2019-09-18","74","428","104379"
"Youtube","Veerus — Apocalypse — Drumcode — DC203","Veerus","2019-04-01","50","232","181851"
"Youtube","Veerus - Phase","Veerus","2018-12-20","42","304","N/A"
"Youtube","Veerus — System — Drumcode — DC224","Veerus","2020-05-13","38","188","N/A"
"Youtube","Veerus - Organum","Veerus","2017-06-06","35","188","N/A"
"Youtube","Veerus & Maxie Devine - Cars (Original Mix)","Veerus","2013-09-17","N/A","N/A","132491"
"Youtube","Veerus — Hypnosis — Drumcode — DC203","Veerus","2019-04-01","N/A","N/A","116078"
"Youtube","Veerus & Maxie Devine - Be Sure (Original Mix) [Suara]","Veerus","2014-11-18","N/A","N/A","82803"
"Youtube","Veerus & Maxie Devine - Purple Sky (Original Mix) [Suara]","Veerus","2014-02-18","N/A","N/A","65725"
