"Date","Plays"
"2023-04-09","992"
"2023-04-16","871"
"2023-04-23","858"
"2023-04-30","920"
"2023-05-07","865"
"2023-05-14","936"
"2023-05-21","804"
"2023-05-28","826"
"2023-06-04","1459"
"2023-06-11","1420"
"2023-06-18","1194"
"2023-06-25","1137"
"2023-07-02","1180"
"2023-07-09","1256"
"2023-07-16","1163"
"2023-07-23","1183"
"2023-07-30","1064"
"2023-08-06","1027"
"2023-08-13","1152"
"2023-08-20","1182"
"2023-08-27","942"
"2023-09-03","952"
"2023-09-10","899"
"2023-09-17","784"
"2023-09-24","768"
"2023-10-01","763"
"2023-10-08","1110"
"2023-10-15","870"
"2023-10-22","839"
"2023-10-29","820"
"2023-11-05","665"
"2023-11-12","711"
"2023-11-19","797"
"2023-11-26","800"
"2023-12-03","800"
"2023-12-10","824"
"2023-12-17","752"
"2023-12-24","658"
"2023-12-31","1767"
"2024-01-07","1736"
"2024-01-14","1269"
"2024-01-21","1199"
"2024-01-28","1025"
"2024-02-04","1466"
"2024-02-11","2401"
"2024-02-18","2263"
"2024-02-25","2037"
"2024-03-03","0"
