"Track","Artists","Alltime plays","Plays 12m","Plays 1m","Plays 1w","Release date"
"[Preview] Veerus & Maxie Devine - My Train [Le Club]","Veerus & Maxie Devine, Veerus","54027","0","0","0","2015-03-02"
"[Preview] Veerus & Maxie Devine - My Train [Le Club]","Veerus & Maxie Devine, Veerus","39069","0","0","0","2015-03-02"
"[Preview] Veerus & Maxie Devine - Be Sure [Suara]","Veerus & Maxie Devine, Veerus","30399","0","0","0","2014-11-07"
"[Preview] Veerus & Maxie Devine - Be Sure [Suara]","Veerus & Maxie Devine, Veerus","29080","0","0","0","2014-11-07"
"Veerus Live at Drumcode Manchester | The Warehouse Project | 03.12.22","Veerus","28806","20072","841","224","2022-12-22"
"Veerus & Maxie Devine - Rab Bit [Yoshitoshi]","Veerus & Maxie Devine, Veerus","28380","0","0","0","2015-12-07"
"Veerus Live at Drumcode Lausanne (D! Club) | 17.12.21","Veerus","27359","8883","643","160","2022-01-20"
"[Preview] Veerus & Maxie Devine - Studio 54 [Suara]","Veerus & Maxie Devine, Veerus","26504","0","0","0","2014-11-07"
"[Preview] Veerus & Maxie Devine - That Bongo [Suara]","Veerus & Maxie Devine, Veerus","26462","0","0","0","2014-11-07"
"[Preview] Veerus & Maxie Devine - Studio 54 [Suara]","Veerus & Maxie Devine, Veerus","26177","0","0","0","2014-11-07"
"[Preview] Veerus & Maxie Devine - That Bongo [Suara]","Veerus & Maxie Devine, Veerus","25754","0","0","0","2014-11-07"
"[Preview] Purple Disco Machine - No Lips (Veerus & Maxie Devine Remix) [Kittball]","Veerus & Maxie Devine, Veerus","24582","0","0","0","2015-01-26"
"[Preview] Purple Disco Machine - No Lips (Veerus & Maxie Devine Remix) [Kittball]","Veerus & Maxie Devine, Veerus","22669","0","0","0","2015-01-26"
"Veerus & Maxie Devine - Rab Bit [Yoshitoshi]","Veerus & Maxie Devine, Veerus","21763","0","0","0","2015-12-07"
"[Preview] Veerus & Maxie Devine - My Acid [Le Club]","Veerus & Maxie Devine, Veerus","21379","0","0","0","2015-01-20"
"[Preview] Veerus & Maxie Devine - My Acid [Le Club]","Veerus & Maxie Devine, Veerus","20741","0","0","0","2015-01-20"
"Veerus, Maxie Devine - My Train (Veerus Reinterpretation)","Veerus","17631","9842","558","137","2022-10-07"
"[Preview] Veerus & Maxie Devine  - Laserdisco [Kittball]","Veerus & Maxie Devine, Veerus","16478","0","0","0","2014-08-25"
"OUT NOW | Veerus - Hold On [Le Club Records]","Veerus & Maxie Devine, Veerus","16381","0","0","0","2018-07-16"
"[Preview] Veerus & Maxie Devine - Loom [OFF]","Veerus & Maxie Devine, Veerus","16296","0","0","0","2015-02-03"
"[Preview] Veerus & Maxie Devine  - Laserdisco [Kittball]","Veerus & Maxie Devine, Veerus","16267","0","0","0","2014-08-25"
"[Preview] Veerus & Maxie Devine - Loom [OFF]","Veerus & Maxie Devine, Veerus","16137","0","0","0","2015-02-03"
"[Preview] Veerus & Maxie Devine - The Peacemaker [Kittball]","Veerus & Maxie Devine, Veerus","15841","0","0","0","2014-12-01"
"Veerus Live at Sisyphos (Berlin) | 16.04.22","Veerus","15813","3300","199","44","2022-04-19"
"[Preview] Veerus & Maxie Devine - The Peacemaker [Kittball]","Veerus & Maxie Devine, Veerus","15582","0","0","0","2014-12-01"
"[Preview] Veerus & Maxie Devine - La Isla [Suara]","Veerus & Maxie Devine, Veerus","14966","0","0","0","2014-05-12"
"Veerus live at Drumcode Indoors II | 03.04.20","Veerus","14623","611","44","13","2020-04-07"
"[Preview] Veerus & Maxie Devine - Embargo [Kittball]","Veerus & Maxie Devine, Veerus","13668","0","0","0","2014-08-25"
"[Preview] Veerus & Maxie Devine - Embargo [Kittball]","Veerus & Maxie Devine, Veerus","13543","0","0","0","2014-08-25"
"[Free Download] Veerus & Maxie Devine - Suara Night @ BOOOM Ibiza - Opening For COYU - 6 August 2014","Veerus & Maxie Devine, Veerus","13325","0","0","0","2014-08-11"
"OUT NOW | Veerus & Maxie Devine - No Picnic [Noir]","Veerus & Maxie Devine, Veerus","13219","0","0","0","2017-03-06"
"[Free Download] Veerus & Maxie Devine - Suara Night @ BOOOM Ibiza - Opening For COYU - 6 August 2014","Veerus & Maxie Devine, Veerus","13146","0","0","0","2014-08-11"
"[Preview] Veerus & Maxie Devine - That's Not You [OFF]","Veerus & Maxie Devine, Veerus","13035","0","0","0","2015-02-03"
"[Preview] Veerus & Maxie Devine - That's Not You [OFF]","Veerus & Maxie Devine, Veerus","12960","0","0","0","2015-02-03"
