"Date","Followers","Follower growth","Popularity"
"2021-02-28","5728","130","35"
"2021-03-31","5853","103","37"
"2021-04-30","5955","67","36"
"2021-05-31","6023","59","36"
"2021-06-30","6082","47","34"
"2021-07-31","6131","61","35"
"2021-08-31","6193","67","35"
"2021-09-30","6258","63","31"
"2021-10-31","6320","44","33"
"2021-11-30","6368","64","32"
"2021-12-31","6435","84","34"
"2022-01-31","6514","194","34"
"2022-02-28","6709","90","35"
"2022-03-31","6799","78","34"
"2022-04-30","6877","96","34"
"2022-05-31","6975","84","29"
"2022-06-30","7058","74","29"
"2022-07-31","7133","91","29"
"2022-08-31","7223","36","30"
"2022-09-30","7260","75","30"
"2022-10-31","7335","86","29"
"2022-11-30","7419","111","29"
"2022-12-31","7527","115","31"
"2023-01-31","7649","77","32"
"2023-02-28","7719","71","31"
"2023-03-31","7796","72","30"
"2023-04-30","7862","60","28"
"2023-05-31","7924","76","29"
"2023-06-30","8001","72","27"
"2023-07-31","8072","68","25"
"2023-08-31","8140","79","25"
"2023-09-30","8221","133","25"
"2023-10-31","8362","30","23"
"2023-11-30","8393","113","23"
"2023-12-31","8506","240","27"
"2024-01-31","8747","103","32"
"2024-02-29","8840","9","30"
